"","Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","area","confirmed_new","recovered_new","deaths_new","hasErrors"
"1","","Algeria",28.0339,1.6596,0,0,0,2020-01-22,"Algeria_",0,0,0,FALSE
"2","","Algeria",28.0339,1.6596,0,0,0,2020-01-23,"Algeria_",0,0,0,FALSE
"3","","Algeria",28.0339,1.6596,0,0,0,2020-01-24,"Algeria_",0,0,0,FALSE
"4","","Algeria",28.0339,1.6596,0,0,0,2020-01-25,"Algeria_",0,0,0,FALSE
"5","","Algeria",28.0339,1.6596,0,0,0,2020-01-26,"Algeria_",0,0,0,FALSE
"6","","Algeria",28.0339,1.6596,0,0,0,2020-01-27,"Algeria_",0,0,0,FALSE
"7","","Algeria",28.0339,1.6596,0,0,0,2020-01-28,"Algeria_",0,0,0,FALSE
"8","","Algeria",28.0339,1.6596,0,0,0,2020-01-29,"Algeria_",0,0,0,FALSE
"9","","Algeria",28.0339,1.6596,0,0,0,2020-01-30,"Algeria_",0,0,0,FALSE
"10","","Algeria",28.0339,1.6596,0,0,0,2020-01-31,"Algeria_",0,0,0,FALSE
"11","","Algeria",28.0339,1.6596,0,0,0,2020-02-01,"Algeria_",0,0,0,FALSE
"12","","Algeria",28.0339,1.6596,0,0,0,2020-02-02,"Algeria_",0,0,0,FALSE
"13","","Algeria",28.0339,1.6596,0,0,0,2020-02-03,"Algeria_",0,0,0,FALSE
"14","","Algeria",28.0339,1.6596,0,0,0,2020-02-04,"Algeria_",0,0,0,FALSE
"15","","Algeria",28.0339,1.6596,0,0,0,2020-02-05,"Algeria_",0,0,0,FALSE
"16","","Algeria",28.0339,1.6596,0,0,0,2020-02-06,"Algeria_",0,0,0,FALSE
"17","","Algeria",28.0339,1.6596,0,0,0,2020-02-07,"Algeria_",0,0,0,FALSE
"18","","Algeria",28.0339,1.6596,0,0,0,2020-02-08,"Algeria_",0,0,0,FALSE
"19","","Algeria",28.0339,1.6596,0,0,0,2020-02-09,"Algeria_",0,0,0,FALSE
"20","","Algeria",28.0339,1.6596,0,0,0,2020-02-10,"Algeria_",0,0,0,FALSE
"21","","Algeria",28.0339,1.6596,0,0,0,2020-02-11,"Algeria_",0,0,0,FALSE
"22","","Algeria",28.0339,1.6596,0,0,0,2020-02-12,"Algeria_",0,0,0,FALSE
"23","","Algeria",28.0339,1.6596,0,0,0,2020-02-13,"Algeria_",0,0,0,FALSE
