"","Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","area","confirmed_new","recovered_new","deaths_new","hasErrors"
"1","Australian Capital Territory","Australia",-35.4735,149.0124,0,0,0,2020-01-22,"Australia_Australian Capital Territory",0,0,0,FALSE
"2","Australian Capital Territory","Australia",-35.4735,149.0124,0,0,0,2020-01-23,"Australia_Australian Capital Territory",0,0,0,FALSE
"3","Australian Capital Territory","Australia",-35.4735,149.0124,0,0,0,2020-01-24,"Australia_Australian Capital Territory",0,0,0,FALSE
"4","Australian Capital Territory","Australia",-35.4735,149.0124,0,0,0,2020-01-25,"Australia_Australian Capital Territory",0,0,0,FALSE
"5","Australian Capital Territory","Australia",-35.4735,149.0124,0,0,0,2020-01-26,"Australia_Australian Capital Territory",0,0,0,FALSE
"6","Australian Capital Territory","Australia",-35.4735,149.0124,0,0,0,2020-01-27,"Australia_Australian Capital Territory",0,0,0,FALSE
"7","Australian Capital Territory","Australia",-35.4735,149.0124,0,0,0,2020-01-28,"Australia_Australian Capital Territory",0,0,0,FALSE
"8","Australian Capital Territory","Australia",-35.4735,149.0124,0,0,0,2020-01-29,"Australia_Australian Capital Territory",0,0,0,FALSE
"9","Australian Capital Territory","Australia",-35.4735,149.0124,0,0,0,2020-01-30,"Australia_Australian Capital Territory",0,0,0,FALSE
"10","Australian Capital Territory","Australia",-35.4735,149.0124,0,0,0,2020-01-31,"Australia_Australian Capital Territory",0,0,0,FALSE
"11","Australian Capital Territory","Australia",-35.4735,149.0124,0,0,0,2020-02-01,"Australia_Australian Capital Territory",0,0,0,FALSE
"12","Australian Capital Territory","Australia",-35.4735,149.0124,0,0,0,2020-02-02,"Australia_Australian Capital Territory",0,0,0,FALSE
"13","Australian Capital Territory","Australia",-35.4735,149.0124,0,0,0,2020-02-03,"Australia_Australian Capital Territory",0,0,0,FALSE
"14","Australian Capital Territory","Australia",-35.4735,149.0124,0,0,0,2020-02-04,"Australia_Australian Capital Territory",0,0,0,FALSE
"15","Australian Capital Territory","Australia",-35.4735,149.0124,0,0,0,2020-02-05,"Australia_Australian Capital Territory",0,0,0,FALSE
"16","Australian Capital Territory","Australia",-35.4735,149.0124,0,0,0,2020-02-06,"Australia_Australian Capital Territory",0,0,0,FALSE
"17","Australian Capital Territory","Australia",-35.4735,149.0124,0,0,0,2020-02-07,"Australia_Australian Capital Territory",0,0,0,FALSE
"18","Australian Capital Territory","Australia",-35.4735,149.0124,0,0,0,2020-02-08,"Australia_Australian Capital Territory",0,0,0,FALSE
