"Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","confirmed_new","recovered_new","deaths_new","hasErrors","hasParent","country_code","country_code3","territory_code"
"Hubei","China",30.9756,112.2707,444,28,17,2020-01-22,444,28,17,FALSE,TRUE,"CN","CHN","CN-HB"
"Hubei","China",30.9756,112.2707,444,28,17,2020-01-23,0,0,0,FALSE,TRUE,"CN","CHN","CN-HB"
"Hubei","China",30.9756,112.2707,549,31,24,2020-01-24,105,3,7,FALSE,TRUE,"CN","CHN","CN-HB"
"Hubei","China",30.9756,112.2707,761,32,40,2020-01-25,212,1,16,FALSE,TRUE,"CN","CHN","CN-HB"
"Hubei","China",30.9756,112.2707,1058,42,52,2020-01-26,297,10,12,FALSE,TRUE,"CN","CHN","CN-HB"
"Hubei","China",30.9756,112.2707,1423,45,76,2020-01-27,365,3,24,FALSE,TRUE,"CN","CHN","CN-HB"
"Hubei","China",30.9756,112.2707,3554,80,125,2020-01-28,2131,35,49,FALSE,TRUE,"CN","CHN","CN-HB"
"Hubei","China",30.9756,112.2707,3554,88,125,2020-01-29,0,8,0,FALSE,TRUE,"CN","CHN","CN-HB"
"Hubei","China",30.9756,112.2707,4903,90,162,2020-01-30,1349,2,37,FALSE,TRUE,"CN","CHN","CN-HB"
"Hubei","China",30.9756,112.2707,5806,141,204,2020-01-31,903,51,42,FALSE,TRUE,"CN","CHN","CN-HB"
"Hubei","China",30.9756,112.2707,7153,168,249,2020-02-01,1347,27,45,FALSE,TRUE,"CN","CHN","CN-HB"
"Hubei","China",30.9756,112.2707,11177,295,350,2020-02-02,4024,127,101,FALSE,TRUE,"CN","CHN","CN-HB"
"Hubei","China",30.9756,112.2707,13522,386,414,2020-02-03,2345,91,64,FALSE,TRUE,"CN","CHN","CN-HB"
"Hubei","China",30.9756,112.2707,16678,522,479,2020-02-04,3156,136,65,FALSE,TRUE,"CN","CHN","CN-HB"
"Hubei","China",30.9756,112.2707,19665,633,549,2020-02-05,2987,111,70,FALSE,TRUE,"CN","CHN","CN-HB"
"Hubei","China",30.9756,112.2707,22112,817,618,2020-02-06,2447,184,69,FALSE,TRUE,"CN","CHN","CN-HB"
"Hubei","China",30.9756,112.2707,24953,1115,699,2020-02-07,2841,298,81,FALSE,TRUE,"CN","CHN","CN-HB"
"Hubei","China",30.9756,112.2707,27100,1439,780,2020-02-08,2147,324,81,FALSE,TRUE,"CN","CHN","CN-HB"
"Hubei","China",30.9756,112.2707,29631,1795,871,2020-02-09,2531,356,91,FALSE,TRUE,"CN","CHN","CN-HB"
"Hubei","China",30.9756,112.2707,31728,2222,974,2020-02-10,2097,427,103,FALSE,TRUE,"CN","CHN","CN-HB"
"Hubei","China",30.9756,112.2707,33366,2639,1068,2020-02-11,1638,417,94,FALSE,TRUE,"CN","CHN","CN-HB"
"Hubei","China",30.9756,112.2707,33366,2686,1068,2020-02-12,0,47,0,FALSE,TRUE,"CN","CHN","CN-HB"
"Hubei","China",30.9756,112.2707,48206,3459,1310,2020-02-13,14840,773,242,FALSE,TRUE,"CN","CHN","CN-HB"
