"Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","confirmed_new","recovered_new","deaths_new","hasErrors","hasParent","country_code","country_code3","territory_code"
"Hebei","China",39.549,116.1306,1,,0,2020-01-22,1,,0,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,0,,2020-01-22,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,1,,1,2020-01-23,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,0,,2020-01-23,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,2,,1,2020-01-24,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,0,,2020-01-24,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,8,,1,2020-01-25,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,0,,2020-01-25,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,13,,1,2020-01-26,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,0,,2020-01-26,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,18,,1,2020-01-27,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,0,,2020-01-27,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,33,,1,2020-01-28,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,0,,2020-01-28,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,48,,1,2020-01-29,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,0,,2020-01-29,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,65,,1,2020-01-30,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,0,,2020-01-30,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,82,,1,2020-01-31,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,0,,2020-01-31,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,96,,1,2020-02-01,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,0,,2020-02-01,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,104,,1,2020-02-02,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,3,,2020-02-02,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,113,,1,2020-02-03,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,3,,2020-02-03,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,126,,1,2020-02-04,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,4,,2020-02-04,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,135,,1,2020-02-05,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,6,,2020-02-05,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,157,,1,2020-02-06,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,13,,2020-02-06,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,172,,1,2020-02-07,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,22,,2020-02-07,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,195,,1,2020-02-08,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,30,,2020-02-08,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,206,,2,2020-02-09,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,34,,2020-02-09,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,218,,2,2020-02-10,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,41,,2020-02-10,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,239,,2,2020-02-11,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,48,,2020-02-11,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,251,,2,2020-02-12,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,54,,2020-02-12,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,265,,3,2020-02-13,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,68,,2020-02-13,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,283,,3,2020-02-14,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,87,,2020-02-14,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,291,,3,2020-02-15,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,101,,2020-02-15,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,300,,3,2020-02-16,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,105,,2020-02-16,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,301,,3,2020-02-17,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,122,,2020-02-17,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,306,,4,2020-02-18,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,136,,2020-02-18,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,306,,4,2020-02-19,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,152,,2020-02-19,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,307,,5,2020-02-20,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,169,,2020-02-20,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,308,,5,2020-02-21,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,184,,2020-02-21,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,309,,6,2020-02-22,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,203,,2020-02-22,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,311,,6,2020-02-23,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,219,,2020-02-23,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,311,,6,2020-02-24,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,234,,2020-02-24,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,311,,6,2020-02-25,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,248,,2020-02-25,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,312,,6,2020-02-26,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,261,,2020-02-26,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,317,,6,2020-02-27,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,274,,2020-02-27,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,318,,6,2020-02-28,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,277,,2020-02-28,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,318,,6,2020-02-29,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,282,,2020-02-29,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,318,,6,2020-03-01,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,294,,2020-03-01,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,318,,6,2020-03-02,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,296,,2020-03-02,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,318,,6,2020-03-03,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,300,,2020-03-03,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,318,,6,2020-03-04,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,301,,2020-03-04,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,318,,6,2020-03-05,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,304,,2020-03-05,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,318,,6,2020-03-06,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,305,,2020-03-06,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,318,,6,2020-03-07,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,307,,2020-03-07,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,318,,6,2020-03-08,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,307,,2020-03-08,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,318,,6,2020-03-09,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,307,,2020-03-09,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,318,,6,2020-03-10,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,307,,2020-03-10,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,318,,6,2020-03-11,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,307,,2020-03-11,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,318,,6,2020-03-12,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,308,,2020-03-12,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,318,,6,2020-03-13,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,310,,2020-03-13,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,318,,6,2020-03-14,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,310,,2020-03-14,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,318,,6,2020-03-15,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,310,,2020-03-15,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,318,,6,2020-03-16,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,310,,2020-03-16,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",39.549,116.1306,318,,6,2020-03-17,,,,TRUE,TRUE,"CN","CHN","CN-HE"
"Hebei","China",37.8957,114.9042,,310,,2020-03-17,,,,TRUE,TRUE,"CN","CHN","CN-HE"
