"Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","confirmed_new","recovered_new","deaths_new","hasErrors","hasParent","country_code","country_code3","territory_code"
"Jiangsu","China",32.9711,119.455,1,0,0,2020-01-22,1,0,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,5,0,0,2020-01-23,4,0,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,9,0,0,2020-01-24,4,0,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,18,1,0,2020-01-25,9,1,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,33,1,0,2020-01-26,15,0,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,47,1,0,2020-01-27,14,0,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,70,1,0,2020-01-28,23,0,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,99,1,0,2020-01-29,29,0,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,129,1,0,2020-01-30,30,0,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,168,5,0,2020-01-31,39,4,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,202,6,0,2020-02-01,34,1,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,236,7,0,2020-02-02,34,1,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,271,8,0,2020-02-03,35,1,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,308,12,0,2020-02-04,37,4,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,341,23,0,2020-02-05,33,11,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,373,34,0,2020-02-06,32,11,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,408,43,0,2020-02-07,35,9,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,439,51,0,2020-02-08,31,8,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,468,71,0,2020-02-09,29,20,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,492,81,0,2020-02-10,24,10,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,515,93,0,2020-02-11,23,12,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,543,125,0,2020-02-12,28,32,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,570,139,0,2020-02-13,27,14,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,593,157,0,2020-02-14,23,18,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,604,186,0,2020-02-15,11,29,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,617,218,0,2020-02-16,13,32,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,626,258,0,2020-02-17,9,40,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,629,280,0,2020-02-18,3,22,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,318,0,2020-02-19,2,38,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,356,0,2020-02-20,0,38,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,373,0,2020-02-21,0,17,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,401,0,2020-02-22,0,28,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,418,0,2020-02-23,0,17,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,452,0,2020-02-24,0,34,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,458,0,2020-02-25,0,6,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,478,0,2020-02-26,0,20,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,498,0,2020-02-27,0,20,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,515,0,2020-02-28,0,17,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,523,0,2020-02-29,0,8,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,536,0,2020-03-01,0,13,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,543,0,2020-03-02,0,7,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,562,0,2020-03-03,0,19,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,577,0,2020-03-04,0,15,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,583,0,2020-03-05,0,6,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,594,0,2020-03-06,0,11,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,606,0,2020-03-07,0,12,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,612,0,2020-03-08,0,6,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,621,0,2020-03-09,0,9,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,627,0,2020-03-10,0,6,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,627,0,2020-03-11,0,0,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,629,0,2020-03-12,0,2,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,630,0,2020-03-13,0,1,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,630,0,2020-03-14,0,0,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,631,0,2020-03-15,0,1,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,631,0,2020-03-16,0,0,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,631,0,2020-03-17,0,0,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,631,0,2020-03-18,0,0,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,631,0,2020-03-19,0,0,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,631,0,2020-03-20,0,0,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,631,631,0,2020-03-21,0,0,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,633,631,0,2020-03-22,2,0,0,FALSE,TRUE,"CN","CHN","CN-JS"
"Jiangsu","China",32.9711,119.455,633,631,0,2020-03-23,0,0,0,FALSE,TRUE,"CN","CHN","CN-JS"
