"Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","confirmed_new","recovered_new","deaths_new","hasErrors","hasParent","country_code","country_code3","territory_code"
"Shanghai","China",31.202,121.4491,9,,0,2020-01-22,9,,0,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,,0,,2020-01-22,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,16,,0,2020-01-23,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,,0,,2020-01-23,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,20,,0,2020-01-24,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,,1,,2020-01-24,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,33,,0,2020-01-25,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,,1,,2020-01-25,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,40,,1,2020-01-26,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,,1,,2020-01-26,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,53,,1,2020-01-27,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,,3,,2020-01-27,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,66,,1,2020-01-28,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,,4,,2020-01-28,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,96,,1,2020-01-29,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,,5,,2020-01-29,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,112,,1,2020-01-30,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,,5,,2020-01-30,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,135,,1,2020-01-31,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,,9,,2020-01-31,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,169,,1,2020-02-01,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,,10,,2020-02-01,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,182,,1,2020-02-02,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,,10,,2020-02-02,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,203,,1,2020-02-03,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,,10,,2020-02-03,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,219,,1,2020-02-04,,,,TRUE,TRUE,"CN","CHN","CN-SH"
"Shanghai","China",31.202,121.4491,,12,,2020-02-04,,,,TRUE,TRUE,"CN","CHN","CN-SH"
