"","Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","area","confirmed_new","recovered_new","deaths_new","hasErrors"
"1","Saskatchewan","Canada",52.9399,-106.4509,0,NA,0,2020-01-22,"Canada_Saskatchewan",0,NA,0,TRUE
"2","Saskatchewan","Canada",52.9399,-106.4509,0,NA,0,2020-01-23,"Canada_Saskatchewan",0,NA,0,TRUE
"3","Saskatchewan","Canada",52.9399,-106.4509,0,NA,0,2020-01-24,"Canada_Saskatchewan",0,NA,0,TRUE
"4","Saskatchewan","Canada",52.9399,-106.4509,0,NA,0,2020-01-25,"Canada_Saskatchewan",0,NA,0,TRUE
"5","Saskatchewan","Canada",52.9399,-106.4509,0,NA,0,2020-01-26,"Canada_Saskatchewan",0,NA,0,TRUE
"6","Saskatchewan","Canada",52.9399,-106.4509,0,NA,0,2020-01-27,"Canada_Saskatchewan",0,NA,0,TRUE
"7","Saskatchewan","Canada",52.9399,-106.4509,0,NA,0,2020-01-28,"Canada_Saskatchewan",0,NA,0,TRUE
"8","Saskatchewan","Canada",52.9399,-106.4509,0,NA,0,2020-01-29,"Canada_Saskatchewan",0,NA,0,TRUE
"9","Saskatchewan","Canada",52.9399,-106.4509,0,NA,0,2020-01-30,"Canada_Saskatchewan",0,NA,0,TRUE
"10","Saskatchewan","Canada",52.9399,-106.4509,0,NA,0,2020-01-31,"Canada_Saskatchewan",0,NA,0,TRUE
"11","Saskatchewan","Canada",52.9399,-106.4509,0,NA,0,2020-02-01,"Canada_Saskatchewan",0,NA,0,TRUE
"12","Saskatchewan","Canada",52.9399,-106.4509,0,NA,0,2020-02-02,"Canada_Saskatchewan",0,NA,0,TRUE
"13","Saskatchewan","Canada",52.9399,-106.4509,0,NA,0,2020-02-03,"Canada_Saskatchewan",0,NA,0,TRUE
"14","Saskatchewan","Canada",52.9399,-106.4509,0,NA,0,2020-02-04,"Canada_Saskatchewan",0,NA,0,TRUE
"15","Saskatchewan","Canada",52.9399,-106.4509,0,NA,0,2020-02-05,"Canada_Saskatchewan",0,NA,0,TRUE
"16","Saskatchewan","Canada",52.9399,-106.4509,0,NA,0,2020-02-06,"Canada_Saskatchewan",0,NA,0,TRUE
