"","Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","area","confirmed_new","recovered_new","deaths_new","hasErrors"
"1","Guangxi","China",23.8298,108.7881,2,0,0,2020-01-22,"China_Guangxi",2,0,0,FALSE
"2","Guangxi","China",23.8298,108.7881,5,0,0,2020-01-23,"China_Guangxi",3,0,0,FALSE
"3","Guangxi","China",23.8298,108.7881,23,0,0,2020-01-24,"China_Guangxi",18,0,0,FALSE
"4","Guangxi","China",23.8298,108.7881,23,0,0,2020-01-25,"China_Guangxi",0,0,0,FALSE
"5","Guangxi","China",23.8298,108.7881,36,0,0,2020-01-26,"China_Guangxi",13,0,0,FALSE
"6","Guangxi","China",23.8298,108.7881,46,0,0,2020-01-27,"China_Guangxi",10,0,0,FALSE
"7","Guangxi","China",23.8298,108.7881,51,2,0,2020-01-28,"China_Guangxi",5,2,0,FALSE
"8","Guangxi","China",23.8298,108.7881,58,2,0,2020-01-29,"China_Guangxi",7,0,0,FALSE
"9","Guangxi","China",23.8298,108.7881,78,2,0,2020-01-30,"China_Guangxi",20,0,0,FALSE
"10","Guangxi","China",23.8298,108.7881,87,2,0,2020-01-31,"China_Guangxi",9,0,0,FALSE
"11","Guangxi","China",23.8298,108.7881,100,2,0,2020-02-01,"China_Guangxi",13,0,0,FALSE
"12","Guangxi","China",23.8298,108.7881,111,2,0,2020-02-02,"China_Guangxi",11,0,0,FALSE
"13","Guangxi","China",23.8298,108.7881,127,7,0,2020-02-03,"China_Guangxi",16,5,0,FALSE
"14","Guangxi","China",23.8298,108.7881,139,10,0,2020-02-04,"China_Guangxi",12,3,0,FALSE
"15","Guangxi","China",23.8298,108.7881,150,13,0,2020-02-05,"China_Guangxi",11,3,0,FALSE
"16","Guangxi","China",23.8298,108.7881,168,14,0,2020-02-06,"China_Guangxi",18,1,0,FALSE
"17","Guangxi","China",23.8298,108.7881,172,17,0,2020-02-07,"China_Guangxi",4,3,0,FALSE
"18","Guangxi","China",23.8298,108.7881,183,17,0,2020-02-08,"China_Guangxi",11,0,0,FALSE
