"","Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","area","confirmed_new","recovered_new","deaths_new","hasErrors"
"1","Guizhou","China",26.8154,106.8748,1,0,0,2020-01-22,"China_Guizhou",1,0,0,FALSE
"2","Guizhou","China",26.8154,106.8748,3,0,0,2020-01-23,"China_Guizhou",2,0,0,FALSE
"3","Guizhou","China",26.8154,106.8748,3,0,0,2020-01-24,"China_Guizhou",0,0,0,FALSE
"4","Guizhou","China",26.8154,106.8748,4,0,0,2020-01-25,"China_Guizhou",1,0,0,FALSE
"5","Guizhou","China",26.8154,106.8748,5,0,0,2020-01-26,"China_Guizhou",1,0,0,FALSE
"6","Guizhou","China",26.8154,106.8748,7,0,0,2020-01-27,"China_Guizhou",2,0,0,FALSE
"7","Guizhou","China",26.8154,106.8748,9,0,0,2020-01-28,"China_Guizhou",2,0,0,FALSE
"8","Guizhou","China",26.8154,106.8748,9,1,0,2020-01-29,"China_Guizhou",0,1,0,FALSE
"9","Guizhou","China",26.8154,106.8748,12,1,0,2020-01-30,"China_Guizhou",3,0,0,FALSE
"10","Guizhou","China",26.8154,106.8748,29,2,0,2020-01-31,"China_Guizhou",17,1,0,FALSE
"11","Guizhou","China",26.8154,106.8748,29,2,0,2020-02-01,"China_Guizhou",0,0,0,FALSE
"12","Guizhou","China",26.8154,106.8748,38,2,0,2020-02-02,"China_Guizhou",9,0,0,FALSE
"13","Guizhou","China",26.8154,106.8748,46,2,0,2020-02-03,"China_Guizhou",8,0,0,FALSE
"14","Guizhou","China",26.8154,106.8748,58,2,0,2020-02-04,"China_Guizhou",12,0,0,FALSE
"15","Guizhou","China",26.8154,106.8748,64,9,1,2020-02-05,"China_Guizhou",6,7,1,FALSE
"16","Guizhou","China",26.8154,106.8748,71,6,1,2020-02-06,"China_Guizhou",7,-3,0,FALSE
"17","Guizhou","China",26.8154,106.8748,81,6,1,2020-02-07,"China_Guizhou",10,0,0,FALSE
"18","Guizhou","China",26.8154,106.8748,89,7,1,2020-02-08,"China_Guizhou",8,1,0,FALSE
"19","Guizhou","China",26.8154,106.8748,99,7,1,2020-02-09,"China_Guizhou",10,0,0,FALSE
"20","Guizhou","China",26.8154,106.8748,109,10,1,2020-02-10,"China_Guizhou",10,3,0,FALSE
"21","Guizhou","China",26.8154,106.8748,127,17,1,2020-02-11,"China_Guizhou",18,7,0,FALSE
