"","Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","area","confirmed_new","recovered_new","deaths_new","hasErrors"
"1","Ningxia","China",37.2692,106.1655,1,0,0,2020-01-22,"China_Ningxia",1,0,0,FALSE
"2","Ningxia","China",37.2692,106.1655,1,0,0,2020-01-23,"China_Ningxia",0,0,0,FALSE
"3","Ningxia","China",37.2692,106.1655,2,0,0,2020-01-24,"China_Ningxia",1,0,0,FALSE
"4","Ningxia","China",37.2692,106.1655,3,0,0,2020-01-25,"China_Ningxia",1,0,0,FALSE
"5","Ningxia","China",37.2692,106.1655,4,0,0,2020-01-26,"China_Ningxia",1,0,0,FALSE
"6","Ningxia","China",37.2692,106.1655,7,0,0,2020-01-27,"China_Ningxia",3,0,0,FALSE
"7","Ningxia","China",37.2692,106.1655,11,0,0,2020-01-28,"China_Ningxia",4,0,0,FALSE
"8","Ningxia","China",37.2692,106.1655,12,0,0,2020-01-29,"China_Ningxia",1,0,0,FALSE
"9","Ningxia","China",37.2692,106.1655,17,0,0,2020-01-30,"China_Ningxia",5,0,0,FALSE
"10","Ningxia","China",37.2692,106.1655,21,0,0,2020-01-31,"China_Ningxia",4,0,0,FALSE
"11","Ningxia","China",37.2692,106.1655,26,0,0,2020-02-01,"China_Ningxia",5,0,0,FALSE
"12","Ningxia","China",37.2692,106.1655,28,0,0,2020-02-02,"China_Ningxia",2,0,0,FALSE
"13","Ningxia","China",37.2692,106.1655,31,1,0,2020-02-03,"China_Ningxia",3,1,0,FALSE
"14","Ningxia","China",37.2692,106.1655,34,1,0,2020-02-04,"China_Ningxia",3,0,0,FALSE
"15","Ningxia","China",37.2692,106.1655,34,1,0,2020-02-05,"China_Ningxia",0,0,0,FALSE
"16","Ningxia","China",37.2692,106.1655,40,1,0,2020-02-06,"China_Ningxia",6,0,0,FALSE
"17","Ningxia","China",37.2692,106.1655,43,5,0,2020-02-07,"China_Ningxia",3,4,0,FALSE
"18","Ningxia","China",37.2692,106.1655,45,15,0,2020-02-08,"China_Ningxia",2,10,0,FALSE
"19","Ningxia","China",37.2692,106.1655,45,13,0,2020-02-09,"China_Ningxia",0,-2,0,FALSE
"20","Ningxia","China",37.2692,106.1655,49,13,0,2020-02-10,"China_Ningxia",4,0,0,FALSE
"21","Ningxia","China",37.2692,106.1655,53,22,0,2020-02-11,"China_Ningxia",4,9,0,FALSE
"22","Ningxia","China",37.2692,106.1655,58,24,0,2020-02-12,"China_Ningxia",5,2,0,FALSE
"23","Ningxia","China",37.2692,106.1655,64,24,0,2020-02-13,"China_Ningxia",6,0,0,FALSE
"24","Ningxia","China",37.2692,106.1655,67,24,0,2020-02-14,"China_Ningxia",3,0,0,FALSE
"25","Ningxia","China",37.2692,106.1655,70,33,0,2020-02-15,"China_Ningxia",3,9,0,FALSE
"26","Ningxia","China",37.2692,106.1655,70,33,0,2020-02-16,"China_Ningxia",0,0,0,FALSE
"27","Ningxia","China",37.2692,106.1655,70,35,0,2020-02-17,"China_Ningxia",0,2,0,FALSE
"28","Ningxia","China",37.2692,106.1655,70,42,0,2020-02-18,"China_Ningxia",0,7,0,FALSE
"29","Ningxia","China",37.2692,106.1655,71,42,0,2020-02-19,"China_Ningxia",1,0,0,FALSE
"30","Ningxia","China",37.2692,106.1655,71,44,0,2020-02-20,"China_Ningxia",0,2,0,FALSE
"31","Ningxia","China",37.2692,106.1655,71,48,0,2020-02-21,"China_Ningxia",0,4,0,FALSE
"32","Ningxia","China",37.2692,106.1655,71,48,0,2020-02-22,"China_Ningxia",0,0,0,FALSE
"33","Ningxia","China",37.2692,106.1655,71,56,0,2020-02-23,"China_Ningxia",0,8,0,FALSE
"34","Ningxia","China",37.2692,106.1655,71,58,0,2020-02-24,"China_Ningxia",0,2,0,FALSE
"35","Ningxia","China",37.2692,106.1655,71,61,0,2020-02-25,"China_Ningxia",0,3,0,FALSE
"36","Ningxia","China",37.2692,106.1655,71,65,0,2020-02-26,"China_Ningxia",0,4,0,FALSE
