"","Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","area","confirmed_new","recovered_new","deaths_new","hasErrors"
"1","Sichuan","China",30.6171,102.7103,5,0,0,2020-01-22,"China_Sichuan",5,0,0,FALSE
"2","Sichuan","China",30.6171,102.7103,8,0,0,2020-01-23,"China_Sichuan",3,0,0,FALSE
"3","Sichuan","China",30.6171,102.7103,15,0,0,2020-01-24,"China_Sichuan",7,0,0,FALSE
"4","Sichuan","China",30.6171,102.7103,28,0,0,2020-01-25,"China_Sichuan",13,0,0,FALSE
"5","Sichuan","China",30.6171,102.7103,44,0,0,2020-01-26,"China_Sichuan",16,0,0,FALSE
"6","Sichuan","China",30.6171,102.7103,69,0,0,2020-01-27,"China_Sichuan",25,0,0,FALSE
"7","Sichuan","China",30.6171,102.7103,90,0,0,2020-01-28,"China_Sichuan",21,0,0,FALSE
"8","Sichuan","China",30.6171,102.7103,108,1,1,2020-01-29,"China_Sichuan",18,1,1,FALSE
"9","Sichuan","China",30.6171,102.7103,142,1,1,2020-01-30,"China_Sichuan",34,0,0,FALSE
"10","Sichuan","China",30.6171,102.7103,177,1,1,2020-01-31,"China_Sichuan",35,0,0,FALSE
"11","Sichuan","China",30.6171,102.7103,207,3,1,2020-02-01,"China_Sichuan",30,2,0,FALSE
"12","Sichuan","China",30.6171,102.7103,231,11,1,2020-02-02,"China_Sichuan",24,8,0,FALSE
"13","Sichuan","China",30.6171,102.7103,254,14,1,2020-02-03,"China_Sichuan",23,3,0,FALSE
"14","Sichuan","China",30.6171,102.7103,282,14,1,2020-02-04,"China_Sichuan",28,0,0,FALSE
"15","Sichuan","China",30.6171,102.7103,301,24,1,2020-02-05,"China_Sichuan",19,10,0,FALSE
"16","Sichuan","China",30.6171,102.7103,321,31,1,2020-02-06,"China_Sichuan",20,7,0,FALSE
"17","Sichuan","China",30.6171,102.7103,344,42,1,2020-02-07,"China_Sichuan",23,11,0,FALSE
"18","Sichuan","China",30.6171,102.7103,364,60,1,2020-02-08,"China_Sichuan",20,18,0,FALSE
"19","Sichuan","China",30.6171,102.7103,386,71,1,2020-02-09,"China_Sichuan",22,11,0,FALSE
"20","Sichuan","China",30.6171,102.7103,405,80,1,2020-02-10,"China_Sichuan",19,9,0,FALSE
