"","Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","area","confirmed_new","recovered_new","deaths_new","hasErrors"
"1","Tianjin","China",39.3054,117.323,4,0,0,2020-01-22,"China_Tianjin",4,0,0,FALSE
"2","Tianjin","China",39.3054,117.323,4,0,0,2020-01-23,"China_Tianjin",0,0,0,FALSE
"3","Tianjin","China",39.3054,117.323,8,0,0,2020-01-24,"China_Tianjin",4,0,0,FALSE
"4","Tianjin","China",39.3054,117.323,10,0,0,2020-01-25,"China_Tianjin",2,0,0,FALSE
"5","Tianjin","China",39.3054,117.323,14,0,0,2020-01-26,"China_Tianjin",4,0,0,FALSE
"6","Tianjin","China",39.3054,117.323,23,0,0,2020-01-27,"China_Tianjin",9,0,0,FALSE
"7","Tianjin","China",39.3054,117.323,24,0,0,2020-01-28,"China_Tianjin",1,0,0,FALSE
"8","Tianjin","China",39.3054,117.323,27,0,0,2020-01-29,"China_Tianjin",3,0,0,FALSE
"9","Tianjin","China",39.3054,117.323,31,0,0,2020-01-30,"China_Tianjin",4,0,0,FALSE
"10","Tianjin","China",39.3054,117.323,32,0,0,2020-01-31,"China_Tianjin",1,0,0,FALSE
"11","Tianjin","China",39.3054,117.323,41,0,0,2020-02-01,"China_Tianjin",9,0,0,FALSE
"12","Tianjin","China",39.3054,117.323,48,1,0,2020-02-02,"China_Tianjin",7,1,0,FALSE
"13","Tianjin","China",39.3054,117.323,60,1,0,2020-02-03,"China_Tianjin",12,0,0,FALSE
"14","Tianjin","China",39.3054,117.323,67,2,0,2020-02-04,"China_Tianjin",7,1,0,FALSE
"15","Tianjin","China",39.3054,117.323,69,2,1,2020-02-05,"China_Tianjin",2,0,1,FALSE
"16","Tianjin","China",39.3054,117.323,79,2,1,2020-02-06,"China_Tianjin",10,0,0,FALSE
"17","Tianjin","China",39.3054,117.323,81,2,1,2020-02-07,"China_Tianjin",2,0,0,FALSE
"18","Tianjin","China",39.3054,117.323,88,4,1,2020-02-08,"China_Tianjin",7,2,0,FALSE
"19","Tianjin","China",39.3054,117.323,91,4,1,2020-02-09,"China_Tianjin",3,0,0,FALSE
"20","Tianjin","China",39.3054,117.323,95,8,1,2020-02-10,"China_Tianjin",4,4,0,FALSE
"21","Tianjin","China",39.3054,117.323,106,10,2,2020-02-11,"China_Tianjin",11,2,1,FALSE
"22","Tianjin","China",39.3054,117.323,112,11,2,2020-02-12,"China_Tianjin",6,1,0,FALSE
"23","Tianjin","China",39.3054,117.323,119,21,3,2020-02-13,"China_Tianjin",7,10,1,FALSE
"24","Tianjin","China",39.3054,117.323,120,31,3,2020-02-14,"China_Tianjin",1,10,0,FALSE
"25","Tianjin","China",39.3054,117.323,122,37,3,2020-02-15,"China_Tianjin",2,6,0,FALSE
"26","Tianjin","China",39.3054,117.323,124,45,3,2020-02-16,"China_Tianjin",2,8,0,FALSE
"27","Tianjin","China",39.3054,117.323,125,46,3,2020-02-17,"China_Tianjin",1,1,0,FALSE
"28","Tianjin","China",39.3054,117.323,128,48,3,2020-02-18,"China_Tianjin",3,2,0,FALSE
"29","Tianjin","China",39.3054,117.323,130,54,3,2020-02-19,"China_Tianjin",2,6,0,FALSE
"30","Tianjin","China",39.3054,117.323,131,59,3,2020-02-20,"China_Tianjin",1,5,0,FALSE
"31","Tianjin","China",39.3054,117.323,132,62,3,2020-02-21,"China_Tianjin",1,3,0,FALSE
"32","Tianjin","China",39.3054,117.323,135,65,3,2020-02-22,"China_Tianjin",3,3,0,FALSE
"33","Tianjin","China",39.3054,117.323,135,81,3,2020-02-23,"China_Tianjin",0,16,0,FALSE
"34","Tianjin","China",39.3054,117.323,135,87,3,2020-02-24,"China_Tianjin",0,6,0,FALSE
"35","Tianjin","China",39.3054,117.323,135,91,3,2020-02-25,"China_Tianjin",0,4,0,FALSE
"36","Tianjin","China",39.3054,117.323,135,96,3,2020-02-26,"China_Tianjin",0,5,0,FALSE
"37","Tianjin","China",39.3054,117.323,136,102,3,2020-02-27,"China_Tianjin",1,6,0,FALSE
"38","Tianjin","China",39.3054,117.323,136,102,3,2020-02-28,"China_Tianjin",0,0,0,FALSE
"39","Tianjin","China",39.3054,117.323,136,109,3,2020-02-29,"China_Tianjin",0,7,0,FALSE
"40","Tianjin","China",39.3054,117.323,136,111,3,2020-03-01,"China_Tianjin",0,2,0,FALSE
"41","Tianjin","China",39.3054,117.323,136,111,3,2020-03-02,"China_Tianjin",0,0,0,FALSE
"42","Tianjin","China",39.3054,117.323,136,124,3,2020-03-03,"China_Tianjin",0,13,0,FALSE
"43","Tianjin","China",39.3054,117.323,136,124,3,2020-03-04,"China_Tianjin",0,0,0,FALSE
"44","Tianjin","China",39.3054,117.323,136,128,3,2020-03-05,"China_Tianjin",0,4,0,FALSE
"45","Tianjin","China",39.3054,117.323,136,128,3,2020-03-06,"China_Tianjin",0,0,0,FALSE
"46","Tianjin","China",39.3054,117.323,136,128,3,2020-03-07,"China_Tianjin",0,0,0,FALSE
"47","Tianjin","China",39.3054,117.323,136,128,3,2020-03-08,"China_Tianjin",0,0,0,FALSE
"48","Tianjin","China",39.3054,117.323,136,130,3,2020-03-09,"China_Tianjin",0,2,0,FALSE
"49","Tianjin","China",39.3054,117.323,136,131,3,2020-03-10,"China_Tianjin",0,1,0,FALSE
"50","Tianjin","China",39.3054,117.323,136,131,3,2020-03-11,"China_Tianjin",0,0,0,FALSE
"51","Tianjin","China",39.3054,117.323,136,132,3,2020-03-12,"China_Tianjin",0,1,0,FALSE
"52","Tianjin","China",39.3054,117.323,136,132,3,2020-03-13,"China_Tianjin",0,0,0,FALSE
"53","Tianjin","China",39.3054,117.323,136,132,3,2020-03-14,"China_Tianjin",0,0,0,FALSE
"54","Tianjin","China",39.3054,117.323,136,133,3,2020-03-15,"China_Tianjin",0,1,0,FALSE
"55","Tianjin","China",39.3054,117.323,136,133,3,2020-03-16,"China_Tianjin",0,0,0,FALSE
"56","Tianjin","China",39.3054,117.323,136,133,3,2020-03-17,"China_Tianjin",0,0,0,FALSE
"57","Tianjin","China",39.3054,117.323,136,133,3,2020-03-18,"China_Tianjin",0,0,0,FALSE
