"","Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","area","confirmed_new","recovered_new","deaths_new","hasErrors"
"1","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-01-22,"Congo (Kinshasa)_",0,0,0,FALSE
"2","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-01-23,"Congo (Kinshasa)_",0,0,0,FALSE
"3","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-01-24,"Congo (Kinshasa)_",0,0,0,FALSE
"4","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-01-25,"Congo (Kinshasa)_",0,0,0,FALSE
"5","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-01-26,"Congo (Kinshasa)_",0,0,0,FALSE
"6","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-01-27,"Congo (Kinshasa)_",0,0,0,FALSE
"7","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-01-28,"Congo (Kinshasa)_",0,0,0,FALSE
"8","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-01-29,"Congo (Kinshasa)_",0,0,0,FALSE
"9","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-01-30,"Congo (Kinshasa)_",0,0,0,FALSE
"10","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-01-31,"Congo (Kinshasa)_",0,0,0,FALSE
"11","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-01,"Congo (Kinshasa)_",0,0,0,FALSE
"12","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-02,"Congo (Kinshasa)_",0,0,0,FALSE
"13","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-03,"Congo (Kinshasa)_",0,0,0,FALSE
"14","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-04,"Congo (Kinshasa)_",0,0,0,FALSE
"15","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-05,"Congo (Kinshasa)_",0,0,0,FALSE
"16","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-06,"Congo (Kinshasa)_",0,0,0,FALSE
"17","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-07,"Congo (Kinshasa)_",0,0,0,FALSE
"18","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-08,"Congo (Kinshasa)_",0,0,0,FALSE
"19","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-09,"Congo (Kinshasa)_",0,0,0,FALSE
"20","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-10,"Congo (Kinshasa)_",0,0,0,FALSE
"21","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-11,"Congo (Kinshasa)_",0,0,0,FALSE
"22","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-12,"Congo (Kinshasa)_",0,0,0,FALSE
"23","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-13,"Congo (Kinshasa)_",0,0,0,FALSE
"24","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-14,"Congo (Kinshasa)_",0,0,0,FALSE
"25","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-15,"Congo (Kinshasa)_",0,0,0,FALSE
"26","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-16,"Congo (Kinshasa)_",0,0,0,FALSE
"27","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-17,"Congo (Kinshasa)_",0,0,0,FALSE
"28","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-18,"Congo (Kinshasa)_",0,0,0,FALSE
"29","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-19,"Congo (Kinshasa)_",0,0,0,FALSE
"30","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-20,"Congo (Kinshasa)_",0,0,0,FALSE
"31","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-21,"Congo (Kinshasa)_",0,0,0,FALSE
"32","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-22,"Congo (Kinshasa)_",0,0,0,FALSE
"33","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-23,"Congo (Kinshasa)_",0,0,0,FALSE
"34","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-24,"Congo (Kinshasa)_",0,0,0,FALSE
"35","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-25,"Congo (Kinshasa)_",0,0,0,FALSE
"36","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-26,"Congo (Kinshasa)_",0,0,0,FALSE
"37","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-27,"Congo (Kinshasa)_",0,0,0,FALSE
"38","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-28,"Congo (Kinshasa)_",0,0,0,FALSE
"39","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-02-29,"Congo (Kinshasa)_",0,0,0,FALSE
"40","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-03-01,"Congo (Kinshasa)_",0,0,0,FALSE
"41","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-03-02,"Congo (Kinshasa)_",0,0,0,FALSE
"42","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-03-03,"Congo (Kinshasa)_",0,0,0,FALSE
"43","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-03-04,"Congo (Kinshasa)_",0,0,0,FALSE
"44","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-03-05,"Congo (Kinshasa)_",0,0,0,FALSE
"45","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-03-06,"Congo (Kinshasa)_",0,0,0,FALSE
"46","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-03-07,"Congo (Kinshasa)_",0,0,0,FALSE
"47","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-03-08,"Congo (Kinshasa)_",0,0,0,FALSE
"48","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-03-09,"Congo (Kinshasa)_",0,0,0,FALSE
"49","","Congo (Kinshasa)",-4.0383,21.7587,0,0,0,2020-03-10,"Congo (Kinshasa)_",0,0,0,FALSE
"50","","Congo (Kinshasa)",-4.0383,21.7587,1,0,0,2020-03-11,"Congo (Kinshasa)_",1,0,0,FALSE
"51","","Congo (Kinshasa)",-4.0383,21.7587,1,0,0,2020-03-12,"Congo (Kinshasa)_",0,0,0,FALSE
"52","","Congo (Kinshasa)",-4.0383,21.7587,2,0,0,2020-03-13,"Congo (Kinshasa)_",1,0,0,FALSE
"53","","Congo (Kinshasa)",-4.0383,21.7587,2,0,0,2020-03-14,"Congo (Kinshasa)_",0,0,0,FALSE
"54","","Congo (Kinshasa)",-4.0383,21.7587,2,0,0,2020-03-15,"Congo (Kinshasa)_",0,0,0,FALSE
"55","","Congo (Kinshasa)",-4.0383,21.7587,2,0,0,2020-03-16,"Congo (Kinshasa)_",0,0,0,FALSE
"56","","Congo (Kinshasa)",-4.0383,21.7587,3,0,0,2020-03-17,"Congo (Kinshasa)_",1,0,0,FALSE
"57","","Congo (Kinshasa)",-4.0383,21.7587,4,0,0,2020-03-18,"Congo (Kinshasa)_",1,0,0,FALSE
"58","","Congo (Kinshasa)",-4.0383,21.7587,14,0,0,2020-03-19,"Congo (Kinshasa)_",10,0,0,FALSE
"59","","Congo (Kinshasa)",-4.0383,21.7587,18,0,0,2020-03-20,"Congo (Kinshasa)_",4,0,0,FALSE
"60","","Congo (Kinshasa)",-4.0383,21.7587,23,0,1,2020-03-21,"Congo (Kinshasa)_",5,0,1,FALSE
"61","","Congo (Kinshasa)",-4.0383,21.7587,30,0,1,2020-03-22,"Congo (Kinshasa)_",7,0,0,FALSE
"62","","Congo (Kinshasa)",-4.0383,21.7587,36,0,1,2020-03-23,"Congo (Kinshasa)_",6,0,0,FALSE
"63","","Congo (Kinshasa)",-4.0383,21.7587,45,0,2,2020-03-24,"Congo (Kinshasa)_",9,0,1,FALSE
"64","","Congo (Kinshasa)",-4.0383,21.7587,48,0,2,2020-03-25,"Congo (Kinshasa)_",3,0,0,FALSE
"65","","Congo (Kinshasa)",-4.0383,21.7587,51,0,3,2020-03-26,"Congo (Kinshasa)_",3,0,1,FALSE
"66","","Congo (Kinshasa)",-4.0383,21.7587,51,2,3,2020-03-27,"Congo (Kinshasa)_",0,2,0,FALSE
"67","","Congo (Kinshasa)",-4.0383,21.7587,65,2,6,2020-03-28,"Congo (Kinshasa)_",14,0,3,FALSE
"68","","Congo (Kinshasa)",-4.0383,21.7587,65,2,6,2020-03-29,"Congo (Kinshasa)_",0,0,0,FALSE
"69","","Congo (Kinshasa)",-4.0383,21.7587,81,2,8,2020-03-30,"Congo (Kinshasa)_",16,0,2,FALSE
"70","","Congo (Kinshasa)",-4.0383,21.7587,98,2,8,2020-03-31,"Congo (Kinshasa)_",17,0,0,FALSE
"71","","Congo (Kinshasa)",-4.0383,21.7587,109,3,9,2020-04-01,"Congo (Kinshasa)_",11,1,1,FALSE
"72","","Congo (Kinshasa)",-4.0383,21.7587,134,3,13,2020-04-02,"Congo (Kinshasa)_",25,0,4,FALSE
"73","","Congo (Kinshasa)",-4.0383,21.7587,134,3,13,2020-04-03,"Congo (Kinshasa)_",0,0,0,FALSE
"74","","Congo (Kinshasa)",-4.0383,21.7587,154,3,18,2020-04-04,"Congo (Kinshasa)_",20,0,5,FALSE
"75","","Congo (Kinshasa)",-4.0383,21.7587,154,3,18,2020-04-05,"Congo (Kinshasa)_",0,0,0,FALSE
