"","Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","area","confirmed_new","recovered_new","deaths_new","hasErrors"
"1","","Estonia",58.5953,25.0136,0,0,0,2020-01-22,"Estonia_",0,0,0,FALSE
"2","","Estonia",58.5953,25.0136,0,0,0,2020-01-23,"Estonia_",0,0,0,FALSE
"3","","Estonia",58.5953,25.0136,0,0,0,2020-01-24,"Estonia_",0,0,0,FALSE
"4","","Estonia",58.5953,25.0136,0,0,0,2020-01-25,"Estonia_",0,0,0,FALSE
"5","","Estonia",58.5953,25.0136,0,0,0,2020-01-26,"Estonia_",0,0,0,FALSE
"6","","Estonia",58.5953,25.0136,0,0,0,2020-01-27,"Estonia_",0,0,0,FALSE
"7","","Estonia",58.5953,25.0136,0,0,0,2020-01-28,"Estonia_",0,0,0,FALSE
"8","","Estonia",58.5953,25.0136,0,0,0,2020-01-29,"Estonia_",0,0,0,FALSE
"9","","Estonia",58.5953,25.0136,0,0,0,2020-01-30,"Estonia_",0,0,0,FALSE
"10","","Estonia",58.5953,25.0136,0,0,0,2020-01-31,"Estonia_",0,0,0,FALSE
"11","","Estonia",58.5953,25.0136,0,0,0,2020-02-01,"Estonia_",0,0,0,FALSE
"12","","Estonia",58.5953,25.0136,0,0,0,2020-02-02,"Estonia_",0,0,0,FALSE
"13","","Estonia",58.5953,25.0136,0,0,0,2020-02-03,"Estonia_",0,0,0,FALSE
"14","","Estonia",58.5953,25.0136,0,0,0,2020-02-04,"Estonia_",0,0,0,FALSE
"15","","Estonia",58.5953,25.0136,0,0,0,2020-02-05,"Estonia_",0,0,0,FALSE
"16","","Estonia",58.5953,25.0136,0,0,0,2020-02-06,"Estonia_",0,0,0,FALSE
"17","","Estonia",58.5953,25.0136,0,0,0,2020-02-07,"Estonia_",0,0,0,FALSE
"18","","Estonia",58.5953,25.0136,0,0,0,2020-02-08,"Estonia_",0,0,0,FALSE
"19","","Estonia",58.5953,25.0136,0,0,0,2020-02-09,"Estonia_",0,0,0,FALSE
"20","","Estonia",58.5953,25.0136,0,0,0,2020-02-10,"Estonia_",0,0,0,FALSE
"21","","Estonia",58.5953,25.0136,0,0,0,2020-02-11,"Estonia_",0,0,0,FALSE
"22","","Estonia",58.5953,25.0136,0,0,0,2020-02-12,"Estonia_",0,0,0,FALSE
"23","","Estonia",58.5953,25.0136,0,0,0,2020-02-13,"Estonia_",0,0,0,FALSE
"24","","Estonia",58.5953,25.0136,0,0,0,2020-02-14,"Estonia_",0,0,0,FALSE
"25","","Estonia",58.5953,25.0136,0,0,0,2020-02-15,"Estonia_",0,0,0,FALSE
"26","","Estonia",58.5953,25.0136,0,0,0,2020-02-16,"Estonia_",0,0,0,FALSE
