"","Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","area","confirmed_new","recovered_new","deaths_new","hasErrors"
"1","","Fiji",-17.7134,178.065,0,0,0,2020-01-22,"Fiji_",0,0,0,FALSE
"2","","Fiji",-17.7134,178.065,0,0,0,2020-01-23,"Fiji_",0,0,0,FALSE
"3","","Fiji",-17.7134,178.065,0,0,0,2020-01-24,"Fiji_",0,0,0,FALSE
"4","","Fiji",-17.7134,178.065,0,0,0,2020-01-25,"Fiji_",0,0,0,FALSE
"5","","Fiji",-17.7134,178.065,0,0,0,2020-01-26,"Fiji_",0,0,0,FALSE
"6","","Fiji",-17.7134,178.065,0,0,0,2020-01-27,"Fiji_",0,0,0,FALSE
"7","","Fiji",-17.7134,178.065,0,0,0,2020-01-28,"Fiji_",0,0,0,FALSE
"8","","Fiji",-17.7134,178.065,0,0,0,2020-01-29,"Fiji_",0,0,0,FALSE
"9","","Fiji",-17.7134,178.065,0,0,0,2020-01-30,"Fiji_",0,0,0,FALSE
"10","","Fiji",-17.7134,178.065,0,0,0,2020-01-31,"Fiji_",0,0,0,FALSE
"11","","Fiji",-17.7134,178.065,0,0,0,2020-02-01,"Fiji_",0,0,0,FALSE
"12","","Fiji",-17.7134,178.065,0,0,0,2020-02-02,"Fiji_",0,0,0,FALSE
"13","","Fiji",-17.7134,178.065,0,0,0,2020-02-03,"Fiji_",0,0,0,FALSE
"14","","Fiji",-17.7134,178.065,0,0,0,2020-02-04,"Fiji_",0,0,0,FALSE
"15","","Fiji",-17.7134,178.065,0,0,0,2020-02-05,"Fiji_",0,0,0,FALSE
"16","","Fiji",-17.7134,178.065,0,0,0,2020-02-06,"Fiji_",0,0,0,FALSE
"17","","Fiji",-17.7134,178.065,0,0,0,2020-02-07,"Fiji_",0,0,0,FALSE
"18","","Fiji",-17.7134,178.065,0,0,0,2020-02-08,"Fiji_",0,0,0,FALSE
"19","","Fiji",-17.7134,178.065,0,0,0,2020-02-09,"Fiji_",0,0,0,FALSE
"20","","Fiji",-17.7134,178.065,0,0,0,2020-02-10,"Fiji_",0,0,0,FALSE
