"Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","confirmed_new","recovered_new","deaths_new","hasErrors","hasParent","country_code","country_code3","territory_code"
"","United Kingdom",55.3781,-3.436,0,0,0,2020-01-22,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,0,0,0,2020-01-23,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,0,0,0,2020-01-24,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,0,0,0,2020-01-25,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,0,0,0,2020-01-26,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,0,0,0,2020-01-27,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,0,0,0,2020-01-28,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,0,0,0,2020-01-29,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,0,0,0,2020-01-30,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,2,0,0,2020-01-31,2,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,2,0,0,2020-02-01,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,2,0,0,2020-02-02,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,2,0,0,2020-02-03,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,2,0,0,2020-02-04,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,2,0,0,2020-02-05,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,2,0,0,2020-02-06,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,3,0,0,2020-02-07,1,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,3,0,0,2020-02-08,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,3,0,0,2020-02-09,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,8,0,0,2020-02-10,5,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,8,0,0,2020-02-11,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,9,1,0,2020-02-12,1,1,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,9,1,0,2020-02-13,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,9,1,0,2020-02-14,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,9,1,0,2020-02-15,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,9,8,0,2020-02-16,0,7,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,9,8,0,2020-02-17,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,9,8,0,2020-02-18,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,9,8,0,2020-02-19,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,9,8,0,2020-02-20,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,9,8,0,2020-02-21,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,9,8,0,2020-02-22,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,9,8,0,2020-02-23,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,13,8,0,2020-02-24,4,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,13,8,0,2020-02-25,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,13,8,0,2020-02-26,0,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,15,8,0,2020-02-27,2,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,20,8,0,2020-02-28,5,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,23,8,0,2020-02-29,3,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,36,8,0,2020-03-01,13,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,40,8,0,2020-03-02,4,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,51,8,0,2020-03-03,11,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,85,8,0,2020-03-04,34,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,115,8,0,2020-03-05,30,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,163,8,1,2020-03-06,48,0,1,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,206,18,2,2020-03-07,43,10,1,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,273,18,2,2020-03-08,67,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,321,18,3,2020-03-09,48,0,1,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,382,18,7,2020-03-10,61,0,4,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,456,18,7,2020-03-11,74,0,0,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,456,18,9,2020-03-12,0,0,2,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,798,18,10,2020-03-13,342,0,1,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,1140,18,28,2020-03-14,342,0,18,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,1140,18,43,2020-03-15,0,0,15,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,1543,20,65,2020-03-16,403,2,22,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,1950,52,81,2020-03-17,407,32,16,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,2626,65,115,2020-03-18,676,13,34,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,2689,65,158,2020-03-19,63,0,43,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,3983,65,194,2020-03-20,1294,0,36,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,5018,65,250,2020-03-21,1035,0,56,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,5683,65,285,2020-03-22,665,0,35,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,6650,65,359,2020-03-23,967,0,74,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,8077,135,508,2020-03-24,1427,70,149,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,9529,135,694,2020-03-25,1452,0,186,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,11658,135,877,2020-03-26,2129,0,183,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,14543,135,1161,2020-03-27,2885,0,284,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,17089,135,1455,2020-03-28,2546,0,294,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,19522,135,1669,2020-03-29,2433,0,214,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,22141,135,2043,2020-03-30,2619,0,374,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,25150,135,2425,2020-03-31,3009,0,382,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,29474,135,3095,2020-04-01,4324,0,670,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,33718,135,3747,2020-04-02,4244,0,652,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,38168,135,4461,2020-04-03,4450,0,714,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,41903,135,5221,2020-04-04,3735,0,760,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,47806,135,5865,2020-04-05,5903,0,644,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,51608,135,6433,2020-04-06,3802,0,568,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,55242,135,7471,2020-04-07,3634,0,1038,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,60733,135,8505,2020-04-08,5491,0,1034,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,65077,135,9608,2020-04-09,4344,0,1103,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,73758,344,10760,2020-04-10,8681,209,1152,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,78991,344,11599,2020-04-11,5233,0,839,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,84279,344,12285,2020-04-12,5288,0,686,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,88621,0,13029,2020-04-13,4342,-344,744,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,93873,0,14073,2020-04-14,5252,0,1044,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,98476,0,14915,2020-04-15,4603,0,842,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,103093,0,15944,2020-04-16,4617,0,1029,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,108692,0,16879,2020-04-17,5599,0,935,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,114217,0,17994,2020-04-18,5525,0,1115,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,120067,0,18492,2020-04-19,5850,0,498,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,124743,0,19051,2020-04-20,4676,0,559,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,129044,0,20223,2020-04-21,4301,0,1172,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,133495,0,21060,2020-04-22,4451,0,837,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,138078,0,21787,2020-04-23,4583,0,727,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,143464,0,22792,2020-04-24,5386,0,1005,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,148377,0,23635,2020-04-25,4913,0,843,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,152840,0,24055,2020-04-26,4463,0,420,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,157149,0,24393,2020-04-27,4309,0,338,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,161145,0,25302,2020-04-28,3996,0,909,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,165221,0,26097,2020-04-29,4076,0,795,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,171253,0,26771,2020-04-30,6032,0,674,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,177454,0,27510,2020-05-01,6201,0,739,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,182260,0,28131,2020-05-02,4806,0,621,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,186599,0,28446,2020-05-03,4339,0,315,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,190584,0,28734,2020-05-04,3985,0,288,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,194990,0,29427,2020-05-05,4406,0,693,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,201101,0,30076,2020-05-06,6111,0,649,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,206715,0,30615,2020-05-07,5614,0,539,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,211364,0,31241,2020-05-08,4649,0,626,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,215260,0,31587,2020-05-09,3896,0,346,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,219183,0,31855,2020-05-10,3923,0,268,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,223060,0,32065,2020-05-11,3877,0,210,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,226463,0,32692,2020-05-12,3403,0,627,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,229705,0,33186,2020-05-13,3242,0,494,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,233151,0,33614,2020-05-14,3446,0,428,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,236711,0,33998,2020-05-15,3560,0,384,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,240161,0,34466,2020-05-16,3450,0,468,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,243695,0,34636,2020-05-17,3534,0,170,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,246406,0,34796,2020-05-18,2711,0,160,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,248818,0,35341,2020-05-19,2412,0,545,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,248293,0,35704,2020-05-20,-525,0,363,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,250908,0,36042,2020-05-21,2615,0,338,FALSE,FALSE,"GB","GBR",
"","United Kingdom",55.3781,-3.436,254195,0,36393,2020-05-22,3287,0,351,FALSE,FALSE,"GB","GBR",
