"","Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","area","confirmed_new","recovered_new","deaths_new","hasErrors"
"1","","Malaysia",2.5,112.5,0,0,0,2020-01-22,"Malaysia_",0,0,0,FALSE
"2","","Malaysia",2.5,112.5,0,0,0,2020-01-23,"Malaysia_",0,0,0,FALSE
"3","","Malaysia",2.5,112.5,0,0,0,2020-01-24,"Malaysia_",0,0,0,FALSE
"4","","Malaysia",2.5,112.5,3,0,0,2020-01-25,"Malaysia_",3,0,0,FALSE
"5","","Malaysia",2.5,112.5,4,0,0,2020-01-26,"Malaysia_",1,0,0,FALSE
"6","","Malaysia",2.5,112.5,4,0,0,2020-01-27,"Malaysia_",0,0,0,FALSE
"7","","Malaysia",2.5,112.5,4,0,0,2020-01-28,"Malaysia_",0,0,0,FALSE
"8","","Malaysia",2.5,112.5,7,0,0,2020-01-29,"Malaysia_",3,0,0,FALSE
"9","","Malaysia",2.5,112.5,8,0,0,2020-01-30,"Malaysia_",1,0,0,FALSE
"10","","Malaysia",2.5,112.5,8,0,0,2020-01-31,"Malaysia_",0,0,0,FALSE
"11","","Malaysia",2.5,112.5,8,0,0,2020-02-01,"Malaysia_",0,0,0,FALSE
"12","","Malaysia",2.5,112.5,8,0,0,2020-02-02,"Malaysia_",0,0,0,FALSE
"13","","Malaysia",2.5,112.5,8,0,0,2020-02-03,"Malaysia_",0,0,0,FALSE
"14","","Malaysia",2.5,112.5,10,0,0,2020-02-04,"Malaysia_",2,0,0,FALSE
"15","","Malaysia",2.5,112.5,12,0,0,2020-02-05,"Malaysia_",2,0,0,FALSE
"16","","Malaysia",2.5,112.5,12,0,0,2020-02-06,"Malaysia_",0,0,0,FALSE
"17","","Malaysia",2.5,112.5,12,1,0,2020-02-07,"Malaysia_",0,1,0,FALSE
"18","","Malaysia",2.5,112.5,16,1,0,2020-02-08,"Malaysia_",4,0,0,FALSE
"19","","Malaysia",2.5,112.5,16,1,0,2020-02-09,"Malaysia_",0,0,0,FALSE
"20","","Malaysia",2.5,112.5,18,1,0,2020-02-10,"Malaysia_",2,0,0,FALSE
"21","","Malaysia",2.5,112.5,18,3,0,2020-02-11,"Malaysia_",0,2,0,FALSE
"22","","Malaysia",2.5,112.5,18,3,0,2020-02-12,"Malaysia_",0,0,0,FALSE
"23","","Malaysia",2.5,112.5,19,3,0,2020-02-13,"Malaysia_",1,0,0,FALSE
"24","","Malaysia",2.5,112.5,19,3,0,2020-02-14,"Malaysia_",0,0,0,FALSE
"25","","Malaysia",2.5,112.5,22,7,0,2020-02-15,"Malaysia_",3,4,0,FALSE
"26","","Malaysia",2.5,112.5,22,7,0,2020-02-16,"Malaysia_",0,0,0,FALSE
"27","","Malaysia",2.5,112.5,22,7,0,2020-02-17,"Malaysia_",0,0,0,FALSE
