"","Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","area","confirmed_new","recovered_new","deaths_new","hasErrors"
"1","","Mozambique",-18.665695,35.529562,0,NA,0,2020-01-22,"Mozambique_",0,NA,0,TRUE
"2","","Mozambique",-18.6657,35.5296,NA,0,NA,2020-01-22,"Mozambique_",NA,NA,NA,TRUE
"3","","Mozambique",-18.665695,35.529562,0,NA,0,2020-01-23,"Mozambique_",NA,NA,NA,TRUE
"4","","Mozambique",-18.6657,35.5296,NA,0,NA,2020-01-23,"Mozambique_",NA,NA,NA,TRUE
"5","","Mozambique",-18.665695,35.529562,0,NA,0,2020-01-24,"Mozambique_",NA,NA,NA,TRUE
"6","","Mozambique",-18.6657,35.5296,NA,0,NA,2020-01-24,"Mozambique_",NA,NA,NA,TRUE
"7","","Mozambique",-18.665695,35.529562,0,NA,0,2020-01-25,"Mozambique_",NA,NA,NA,TRUE
"8","","Mozambique",-18.6657,35.5296,NA,0,NA,2020-01-25,"Mozambique_",NA,NA,NA,TRUE
"9","","Mozambique",-18.665695,35.529562,0,NA,0,2020-01-26,"Mozambique_",NA,NA,NA,TRUE
"10","","Mozambique",-18.6657,35.5296,NA,0,NA,2020-01-26,"Mozambique_",NA,NA,NA,TRUE
"11","","Mozambique",-18.665695,35.529562,0,NA,0,2020-01-27,"Mozambique_",NA,NA,NA,TRUE
"12","","Mozambique",-18.6657,35.5296,NA,0,NA,2020-01-27,"Mozambique_",NA,NA,NA,TRUE
"13","","Mozambique",-18.665695,35.529562,0,NA,0,2020-01-28,"Mozambique_",NA,NA,NA,TRUE
"14","","Mozambique",-18.6657,35.5296,NA,0,NA,2020-01-28,"Mozambique_",NA,NA,NA,TRUE
"15","","Mozambique",-18.665695,35.529562,0,NA,0,2020-01-29,"Mozambique_",NA,NA,NA,TRUE
"16","","Mozambique",-18.6657,35.5296,NA,0,NA,2020-01-29,"Mozambique_",NA,NA,NA,TRUE
"17","","Mozambique",-18.665695,35.529562,0,NA,0,2020-01-30,"Mozambique_",NA,NA,NA,TRUE
"18","","Mozambique",-18.6657,35.5296,NA,0,NA,2020-01-30,"Mozambique_",NA,NA,NA,TRUE
"19","","Mozambique",-18.665695,35.529562,0,NA,0,2020-01-31,"Mozambique_",NA,NA,NA,TRUE
"20","","Mozambique",-18.6657,35.5296,NA,0,NA,2020-01-31,"Mozambique_",NA,NA,NA,TRUE
"21","","Mozambique",-18.665695,35.529562,0,NA,0,2020-02-01,"Mozambique_",NA,NA,NA,TRUE
"22","","Mozambique",-18.6657,35.5296,NA,0,NA,2020-02-01,"Mozambique_",NA,NA,NA,TRUE
"23","","Mozambique",-18.665695,35.529562,0,NA,0,2020-02-02,"Mozambique_",NA,NA,NA,TRUE
"24","","Mozambique",-18.6657,35.5296,NA,0,NA,2020-02-02,"Mozambique_",NA,NA,NA,TRUE
"25","","Mozambique",-18.665695,35.529562,0,NA,0,2020-02-03,"Mozambique_",NA,NA,NA,TRUE
"26","","Mozambique",-18.6657,35.5296,NA,0,NA,2020-02-03,"Mozambique_",NA,NA,NA,TRUE
"27","","Mozambique",-18.665695,35.529562,0,NA,0,2020-02-04,"Mozambique_",NA,NA,NA,TRUE
"28","","Mozambique",-18.6657,35.5296,NA,0,NA,2020-02-04,"Mozambique_",NA,NA,NA,TRUE
"29","","Mozambique",-18.665695,35.529562,0,NA,0,2020-02-05,"Mozambique_",NA,NA,NA,TRUE
"30","","Mozambique",-18.6657,35.5296,NA,0,NA,2020-02-05,"Mozambique_",NA,NA,NA,TRUE
"31","","Mozambique",-18.665695,35.529562,0,NA,0,2020-02-06,"Mozambique_",NA,NA,NA,TRUE
"32","","Mozambique",-18.6657,35.5296,NA,0,NA,2020-02-06,"Mozambique_",NA,NA,NA,TRUE
"33","","Mozambique",-18.665695,35.529562,0,NA,0,2020-02-07,"Mozambique_",NA,NA,NA,TRUE
"34","","Mozambique",-18.6657,35.5296,NA,0,NA,2020-02-07,"Mozambique_",NA,NA,NA,TRUE
"35","","Mozambique",-18.665695,35.529562,0,NA,0,2020-02-08,"Mozambique_",NA,NA,NA,TRUE
"36","","Mozambique",-18.6657,35.5296,NA,0,NA,2020-02-08,"Mozambique_",NA,NA,NA,TRUE
"37","","Mozambique",-18.665695,35.529562,0,NA,0,2020-02-09,"Mozambique_",NA,NA,NA,TRUE
