"","Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","area","confirmed_new","recovered_new","deaths_new","hasErrors"
"1","","Rwanda",-1.9403,29.8739,0,0,0,2020-01-22,"Rwanda_",0,0,0,FALSE
"2","","Rwanda",-1.9403,29.8739,0,0,0,2020-01-23,"Rwanda_",0,0,0,FALSE
"3","","Rwanda",-1.9403,29.8739,0,0,0,2020-01-24,"Rwanda_",0,0,0,FALSE
"4","","Rwanda",-1.9403,29.8739,0,0,0,2020-01-25,"Rwanda_",0,0,0,FALSE
"5","","Rwanda",-1.9403,29.8739,0,0,0,2020-01-26,"Rwanda_",0,0,0,FALSE
"6","","Rwanda",-1.9403,29.8739,0,0,0,2020-01-27,"Rwanda_",0,0,0,FALSE
"7","","Rwanda",-1.9403,29.8739,0,0,0,2020-01-28,"Rwanda_",0,0,0,FALSE
"8","","Rwanda",-1.9403,29.8739,0,0,0,2020-01-29,"Rwanda_",0,0,0,FALSE
"9","","Rwanda",-1.9403,29.8739,0,0,0,2020-01-30,"Rwanda_",0,0,0,FALSE
"10","","Rwanda",-1.9403,29.8739,0,0,0,2020-01-31,"Rwanda_",0,0,0,FALSE
"11","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-01,"Rwanda_",0,0,0,FALSE
"12","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-02,"Rwanda_",0,0,0,FALSE
"13","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-03,"Rwanda_",0,0,0,FALSE
"14","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-04,"Rwanda_",0,0,0,FALSE
"15","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-05,"Rwanda_",0,0,0,FALSE
"16","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-06,"Rwanda_",0,0,0,FALSE
"17","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-07,"Rwanda_",0,0,0,FALSE
"18","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-08,"Rwanda_",0,0,0,FALSE
"19","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-09,"Rwanda_",0,0,0,FALSE
"20","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-10,"Rwanda_",0,0,0,FALSE
"21","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-11,"Rwanda_",0,0,0,FALSE
"22","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-12,"Rwanda_",0,0,0,FALSE
"23","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-13,"Rwanda_",0,0,0,FALSE
"24","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-14,"Rwanda_",0,0,0,FALSE
"25","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-15,"Rwanda_",0,0,0,FALSE
"26","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-16,"Rwanda_",0,0,0,FALSE
"27","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-17,"Rwanda_",0,0,0,FALSE
"28","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-18,"Rwanda_",0,0,0,FALSE
"29","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-19,"Rwanda_",0,0,0,FALSE
"30","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-20,"Rwanda_",0,0,0,FALSE
"31","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-21,"Rwanda_",0,0,0,FALSE
"32","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-22,"Rwanda_",0,0,0,FALSE
"33","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-23,"Rwanda_",0,0,0,FALSE
"34","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-24,"Rwanda_",0,0,0,FALSE
"35","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-25,"Rwanda_",0,0,0,FALSE
"36","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-26,"Rwanda_",0,0,0,FALSE
"37","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-27,"Rwanda_",0,0,0,FALSE
"38","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-28,"Rwanda_",0,0,0,FALSE
"39","","Rwanda",-1.9403,29.8739,0,0,0,2020-02-29,"Rwanda_",0,0,0,FALSE
"40","","Rwanda",-1.9403,29.8739,0,0,0,2020-03-01,"Rwanda_",0,0,0,FALSE
"41","","Rwanda",-1.9403,29.8739,0,0,0,2020-03-02,"Rwanda_",0,0,0,FALSE
"42","","Rwanda",-1.9403,29.8739,0,0,0,2020-03-03,"Rwanda_",0,0,0,FALSE
"43","","Rwanda",-1.9403,29.8739,0,0,0,2020-03-04,"Rwanda_",0,0,0,FALSE
"44","","Rwanda",-1.9403,29.8739,0,0,0,2020-03-05,"Rwanda_",0,0,0,FALSE
"45","","Rwanda",-1.9403,29.8739,0,0,0,2020-03-06,"Rwanda_",0,0,0,FALSE
"46","","Rwanda",-1.9403,29.8739,0,0,0,2020-03-07,"Rwanda_",0,0,0,FALSE
"47","","Rwanda",-1.9403,29.8739,0,0,0,2020-03-08,"Rwanda_",0,0,0,FALSE
"48","","Rwanda",-1.9403,29.8739,0,0,0,2020-03-09,"Rwanda_",0,0,0,FALSE
"49","","Rwanda",-1.9403,29.8739,0,0,0,2020-03-10,"Rwanda_",0,0,0,FALSE
"50","","Rwanda",-1.9403,29.8739,0,0,0,2020-03-11,"Rwanda_",0,0,0,FALSE
"51","","Rwanda",-1.9403,29.8739,0,0,0,2020-03-12,"Rwanda_",0,0,0,FALSE
"52","","Rwanda",-1.9403,29.8739,0,0,0,2020-03-13,"Rwanda_",0,0,0,FALSE
"53","","Rwanda",-1.9403,29.8739,1,0,0,2020-03-14,"Rwanda_",1,0,0,FALSE
"54","","Rwanda",-1.9403,29.8739,1,0,0,2020-03-15,"Rwanda_",0,0,0,FALSE
"55","","Rwanda",-1.9403,29.8739,5,0,0,2020-03-16,"Rwanda_",4,0,0,FALSE
"56","","Rwanda",-1.9403,29.8739,7,0,0,2020-03-17,"Rwanda_",2,0,0,FALSE
"57","","Rwanda",-1.9403,29.8739,8,0,0,2020-03-18,"Rwanda_",1,0,0,FALSE
"58","","Rwanda",-1.9403,29.8739,8,0,0,2020-03-19,"Rwanda_",0,0,0,FALSE
"59","","Rwanda",-1.9403,29.8739,17,0,0,2020-03-20,"Rwanda_",9,0,0,FALSE
"60","","Rwanda",-1.9403,29.8739,17,0,0,2020-03-21,"Rwanda_",0,0,0,FALSE
"61","","Rwanda",-1.9403,29.8739,19,0,0,2020-03-22,"Rwanda_",2,0,0,FALSE
"62","","Rwanda",-1.9403,29.8739,36,0,0,2020-03-23,"Rwanda_",17,0,0,FALSE
"63","","Rwanda",-1.9403,29.8739,40,0,0,2020-03-24,"Rwanda_",4,0,0,FALSE
"64","","Rwanda",-1.9403,29.8739,41,0,0,2020-03-25,"Rwanda_",1,0,0,FALSE
"65","","Rwanda",-1.9403,29.8739,50,0,0,2020-03-26,"Rwanda_",9,0,0,FALSE
"66","","Rwanda",-1.9403,29.8739,54,0,0,2020-03-27,"Rwanda_",4,0,0,FALSE
"67","","Rwanda",-1.9403,29.8739,60,0,0,2020-03-28,"Rwanda_",6,0,0,FALSE
"68","","Rwanda",-1.9403,29.8739,70,0,0,2020-03-29,"Rwanda_",10,0,0,FALSE
"69","","Rwanda",-1.9403,29.8739,70,0,0,2020-03-30,"Rwanda_",0,0,0,FALSE
"70","","Rwanda",-1.9403,29.8739,75,0,0,2020-03-31,"Rwanda_",5,0,0,FALSE
"71","","Rwanda",-1.9403,29.8739,82,0,0,2020-04-01,"Rwanda_",7,0,0,FALSE
"72","","Rwanda",-1.9403,29.8739,84,0,0,2020-04-02,"Rwanda_",2,0,0,FALSE
"73","","Rwanda",-1.9403,29.8739,89,0,0,2020-04-03,"Rwanda_",5,0,0,FALSE
"74","","Rwanda",-1.9403,29.8739,102,0,0,2020-04-04,"Rwanda_",13,0,0,FALSE
"75","","Rwanda",-1.9403,29.8739,104,4,0,2020-04-05,"Rwanda_",2,4,0,FALSE
