"","Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","area","confirmed_new","recovered_new","deaths_new","hasErrors"
"1","","Saudi Arabia",24,45,0,0,0,2020-01-22,"Saudi Arabia_",0,0,0,FALSE
"2","","Saudi Arabia",24,45,0,0,0,2020-01-23,"Saudi Arabia_",0,0,0,FALSE
"3","","Saudi Arabia",24,45,0,0,0,2020-01-24,"Saudi Arabia_",0,0,0,FALSE
"4","","Saudi Arabia",24,45,0,0,0,2020-01-25,"Saudi Arabia_",0,0,0,FALSE
"5","","Saudi Arabia",24,45,0,0,0,2020-01-26,"Saudi Arabia_",0,0,0,FALSE
"6","","Saudi Arabia",24,45,0,0,0,2020-01-27,"Saudi Arabia_",0,0,0,FALSE
"7","","Saudi Arabia",24,45,0,0,0,2020-01-28,"Saudi Arabia_",0,0,0,FALSE
"8","","Saudi Arabia",24,45,0,0,0,2020-01-29,"Saudi Arabia_",0,0,0,FALSE
"9","","Saudi Arabia",24,45,0,0,0,2020-01-30,"Saudi Arabia_",0,0,0,FALSE
"10","","Saudi Arabia",24,45,0,0,0,2020-01-31,"Saudi Arabia_",0,0,0,FALSE
"11","","Saudi Arabia",24,45,0,0,0,2020-02-01,"Saudi Arabia_",0,0,0,FALSE
"12","","Saudi Arabia",24,45,0,0,0,2020-02-02,"Saudi Arabia_",0,0,0,FALSE
"13","","Saudi Arabia",24,45,0,0,0,2020-02-03,"Saudi Arabia_",0,0,0,FALSE
"14","","Saudi Arabia",24,45,0,0,0,2020-02-04,"Saudi Arabia_",0,0,0,FALSE
"15","","Saudi Arabia",24,45,0,0,0,2020-02-05,"Saudi Arabia_",0,0,0,FALSE
"16","","Saudi Arabia",24,45,0,0,0,2020-02-06,"Saudi Arabia_",0,0,0,FALSE
"17","","Saudi Arabia",24,45,0,0,0,2020-02-07,"Saudi Arabia_",0,0,0,FALSE
"18","","Saudi Arabia",24,45,0,0,0,2020-02-08,"Saudi Arabia_",0,0,0,FALSE
"19","","Saudi Arabia",24,45,0,0,0,2020-02-09,"Saudi Arabia_",0,0,0,FALSE
"20","","Saudi Arabia",24,45,0,0,0,2020-02-10,"Saudi Arabia_",0,0,0,FALSE
"21","","Saudi Arabia",24,45,0,0,0,2020-02-11,"Saudi Arabia_",0,0,0,FALSE
"22","","Saudi Arabia",24,45,0,0,0,2020-02-12,"Saudi Arabia_",0,0,0,FALSE
"23","","Saudi Arabia",24,45,0,0,0,2020-02-13,"Saudi Arabia_",0,0,0,FALSE
"24","","Saudi Arabia",24,45,0,0,0,2020-02-14,"Saudi Arabia_",0,0,0,FALSE
"25","","Saudi Arabia",24,45,0,0,0,2020-02-15,"Saudi Arabia_",0,0,0,FALSE
"26","","Saudi Arabia",24,45,0,0,0,2020-02-16,"Saudi Arabia_",0,0,0,FALSE
"27","","Saudi Arabia",24,45,0,0,0,2020-02-17,"Saudi Arabia_",0,0,0,FALSE
"28","","Saudi Arabia",24,45,0,0,0,2020-02-18,"Saudi Arabia_",0,0,0,FALSE
"29","","Saudi Arabia",24,45,0,0,0,2020-02-19,"Saudi Arabia_",0,0,0,FALSE
"30","","Saudi Arabia",24,45,0,0,0,2020-02-20,"Saudi Arabia_",0,0,0,FALSE
"31","","Saudi Arabia",24,45,0,0,0,2020-02-21,"Saudi Arabia_",0,0,0,FALSE
"32","","Saudi Arabia",24,45,0,0,0,2020-02-22,"Saudi Arabia_",0,0,0,FALSE
"33","","Saudi Arabia",24,45,0,0,0,2020-02-23,"Saudi Arabia_",0,0,0,FALSE
"34","","Saudi Arabia",24,45,0,0,0,2020-02-24,"Saudi Arabia_",0,0,0,FALSE
"35","","Saudi Arabia",24,45,0,0,0,2020-02-25,"Saudi Arabia_",0,0,0,FALSE
"36","","Saudi Arabia",24,45,0,0,0,2020-02-26,"Saudi Arabia_",0,0,0,FALSE
"37","","Saudi Arabia",24,45,0,0,0,2020-02-27,"Saudi Arabia_",0,0,0,FALSE
"38","","Saudi Arabia",24,45,0,0,0,2020-02-28,"Saudi Arabia_",0,0,0,FALSE
"39","","Saudi Arabia",24,45,0,0,0,2020-02-29,"Saudi Arabia_",0,0,0,FALSE
"40","","Saudi Arabia",24,45,0,0,0,2020-03-01,"Saudi Arabia_",0,0,0,FALSE
"41","","Saudi Arabia",24,45,1,0,0,2020-03-02,"Saudi Arabia_",1,0,0,FALSE
"42","","Saudi Arabia",24,45,1,0,0,2020-03-03,"Saudi Arabia_",0,0,0,FALSE
"43","","Saudi Arabia",24,45,1,0,0,2020-03-04,"Saudi Arabia_",0,0,0,FALSE
"44","","Saudi Arabia",24,45,5,0,0,2020-03-05,"Saudi Arabia_",4,0,0,FALSE
"45","","Saudi Arabia",24,45,5,0,0,2020-03-06,"Saudi Arabia_",0,0,0,FALSE
"46","","Saudi Arabia",24,45,5,0,0,2020-03-07,"Saudi Arabia_",0,0,0,FALSE
"47","","Saudi Arabia",24,45,11,0,0,2020-03-08,"Saudi Arabia_",6,0,0,FALSE
"48","","Saudi Arabia",24,45,15,0,0,2020-03-09,"Saudi Arabia_",4,0,0,FALSE
"49","","Saudi Arabia",24,45,20,1,0,2020-03-10,"Saudi Arabia_",5,1,0,FALSE
"50","","Saudi Arabia",24,45,21,1,0,2020-03-11,"Saudi Arabia_",1,0,0,FALSE
"51","","Saudi Arabia",24,45,45,1,0,2020-03-12,"Saudi Arabia_",24,0,0,FALSE
"52","","Saudi Arabia",24,45,86,1,0,2020-03-13,"Saudi Arabia_",41,0,0,FALSE
"53","","Saudi Arabia",24,45,103,1,0,2020-03-14,"Saudi Arabia_",17,0,0,FALSE
