"","Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","area","confirmed_new","recovered_new","deaths_new","hasErrors"
"1","","Singapore",1.2833,103.8333,0,0,0,2020-01-22,"Singapore_",0,0,0,FALSE
"2","","Singapore",1.2833,103.8333,1,0,0,2020-01-23,"Singapore_",1,0,0,FALSE
"3","","Singapore",1.2833,103.8333,3,0,0,2020-01-24,"Singapore_",2,0,0,FALSE
"4","","Singapore",1.2833,103.8333,3,0,0,2020-01-25,"Singapore_",0,0,0,FALSE
"5","","Singapore",1.2833,103.8333,4,0,0,2020-01-26,"Singapore_",1,0,0,FALSE
"6","","Singapore",1.2833,103.8333,5,0,0,2020-01-27,"Singapore_",1,0,0,FALSE
"7","","Singapore",1.2833,103.8333,7,0,0,2020-01-28,"Singapore_",2,0,0,FALSE
"8","","Singapore",1.2833,103.8333,7,0,0,2020-01-29,"Singapore_",0,0,0,FALSE
"9","","Singapore",1.2833,103.8333,10,0,0,2020-01-30,"Singapore_",3,0,0,FALSE
"10","","Singapore",1.2833,103.8333,13,0,0,2020-01-31,"Singapore_",3,0,0,FALSE
"11","","Singapore",1.2833,103.8333,16,0,0,2020-02-01,"Singapore_",3,0,0,FALSE
"12","","Singapore",1.2833,103.8333,18,0,0,2020-02-02,"Singapore_",2,0,0,FALSE
"13","","Singapore",1.2833,103.8333,18,0,0,2020-02-03,"Singapore_",0,0,0,FALSE
"14","","Singapore",1.2833,103.8333,24,0,0,2020-02-04,"Singapore_",6,0,0,FALSE
"15","","Singapore",1.2833,103.8333,28,0,0,2020-02-05,"Singapore_",4,0,0,FALSE
"16","","Singapore",1.2833,103.8333,28,0,0,2020-02-06,"Singapore_",0,0,0,FALSE
"17","","Singapore",1.2833,103.8333,30,0,0,2020-02-07,"Singapore_",2,0,0,FALSE
"18","","Singapore",1.2833,103.8333,33,2,0,2020-02-08,"Singapore_",3,2,0,FALSE
"19","","Singapore",1.2833,103.8333,40,2,0,2020-02-09,"Singapore_",7,0,0,FALSE
