"","Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","area","confirmed_new","recovered_new","deaths_new","hasErrors"
"1","","Taiwan*",23.7,121,1,0,0,2020-01-22,"Taiwan*_",1,0,0,FALSE
"2","","Taiwan*",23.7,121,1,0,0,2020-01-23,"Taiwan*_",0,0,0,FALSE
"3","","Taiwan*",23.7,121,3,0,0,2020-01-24,"Taiwan*_",2,0,0,FALSE
"4","","Taiwan*",23.7,121,3,0,0,2020-01-25,"Taiwan*_",0,0,0,FALSE
"5","","Taiwan*",23.7,121,4,0,0,2020-01-26,"Taiwan*_",1,0,0,FALSE
"6","","Taiwan*",23.7,121,5,0,0,2020-01-27,"Taiwan*_",1,0,0,FALSE
"7","","Taiwan*",23.7,121,8,0,0,2020-01-28,"Taiwan*_",3,0,0,FALSE
"8","","Taiwan*",23.7,121,8,0,0,2020-01-29,"Taiwan*_",0,0,0,FALSE
"9","","Taiwan*",23.7,121,9,0,0,2020-01-30,"Taiwan*_",1,0,0,FALSE
"10","","Taiwan*",23.7,121,10,0,0,2020-01-31,"Taiwan*_",1,0,0,FALSE
"11","","Taiwan*",23.7,121,10,0,0,2020-02-01,"Taiwan*_",0,0,0,FALSE
"12","","Taiwan*",23.7,121,10,0,0,2020-02-02,"Taiwan*_",0,0,0,FALSE
"13","","Taiwan*",23.7,121,10,0,0,2020-02-03,"Taiwan*_",0,0,0,FALSE
"14","","Taiwan*",23.7,121,11,0,0,2020-02-04,"Taiwan*_",1,0,0,FALSE
"15","","Taiwan*",23.7,121,11,0,0,2020-02-05,"Taiwan*_",0,0,0,FALSE
"16","","Taiwan*",23.7,121,16,1,0,2020-02-06,"Taiwan*_",5,1,0,FALSE
"17","","Taiwan*",23.7,121,16,1,0,2020-02-07,"Taiwan*_",0,0,0,FALSE
"18","","Taiwan*",23.7,121,17,1,0,2020-02-08,"Taiwan*_",1,0,0,FALSE
"19","","Taiwan*",23.7,121,18,1,0,2020-02-09,"Taiwan*_",1,0,0,FALSE
"20","","Taiwan*",23.7,121,18,1,0,2020-02-10,"Taiwan*_",0,0,0,FALSE
"21","","Taiwan*",23.7,121,18,1,0,2020-02-11,"Taiwan*_",0,0,0,FALSE
"22","","Taiwan*",23.7,121,18,1,0,2020-02-12,"Taiwan*_",0,0,0,FALSE
"23","","Taiwan*",23.7,121,18,1,0,2020-02-13,"Taiwan*_",0,0,0,FALSE
"24","","Taiwan*",23.7,121,18,2,0,2020-02-14,"Taiwan*_",0,1,0,FALSE
"25","","Taiwan*",23.7,121,18,2,0,2020-02-15,"Taiwan*_",0,0,0,FALSE
"26","","Taiwan*",23.7,121,20,2,1,2020-02-16,"Taiwan*_",2,0,1,FALSE
"27","","Taiwan*",23.7,121,22,2,1,2020-02-17,"Taiwan*_",2,0,0,FALSE
"28","","Taiwan*",23.7,121,22,2,1,2020-02-18,"Taiwan*_",0,0,0,FALSE
"29","","Taiwan*",23.7,121,23,2,1,2020-02-19,"Taiwan*_",1,0,0,FALSE
"30","","Taiwan*",23.7,121,24,2,1,2020-02-20,"Taiwan*_",1,0,0,FALSE
"31","","Taiwan*",23.7,121,26,2,1,2020-02-21,"Taiwan*_",2,0,0,FALSE
"32","","Taiwan*",23.7,121,26,2,1,2020-02-22,"Taiwan*_",0,0,0,FALSE
"33","","Taiwan*",23.7,121,28,2,1,2020-02-23,"Taiwan*_",2,0,0,FALSE
"34","","Taiwan*",23.7,121,30,5,1,2020-02-24,"Taiwan*_",2,3,0,FALSE
"35","","Taiwan*",23.7,121,31,5,1,2020-02-25,"Taiwan*_",1,0,0,FALSE
"36","","Taiwan*",23.7,121,32,5,1,2020-02-26,"Taiwan*_",1,0,0,FALSE
"37","","Taiwan*",23.7,121,32,5,1,2020-02-27,"Taiwan*_",0,0,0,FALSE
"38","","Taiwan*",23.7,121,34,6,1,2020-02-28,"Taiwan*_",2,1,0,FALSE
"39","","Taiwan*",23.7,121,39,9,1,2020-02-29,"Taiwan*_",5,3,0,FALSE
