"Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","confirmed_new","recovered_new","deaths_new","hasErrors","hasParent","country_code","country_code3","territory_code"
"","US",37.0902,-95.7129,1,0,0,2020-01-22,1,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,1,0,0,2020-01-23,0,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,2,0,0,2020-01-24,1,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,2,0,0,2020-01-25,0,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,5,0,0,2020-01-26,3,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,5,0,0,2020-01-27,0,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,5,0,0,2020-01-28,0,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,5,0,0,2020-01-29,0,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,5,0,0,2020-01-30,0,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,7,0,0,2020-01-31,2,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,8,0,0,2020-02-01,1,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,8,0,0,2020-02-02,0,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,11,0,0,2020-02-03,3,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,11,0,0,2020-02-04,0,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,11,0,0,2020-02-05,0,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,11,0,0,2020-02-06,0,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,11,0,0,2020-02-07,0,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,11,0,0,2020-02-08,0,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,11,3,0,2020-02-09,0,3,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,11,3,0,2020-02-10,0,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,12,3,0,2020-02-11,1,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,12,3,0,2020-02-12,0,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,13,3,0,2020-02-13,1,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,13,3,0,2020-02-14,0,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,13,3,0,2020-02-15,0,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,13,3,0,2020-02-16,0,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,13,3,0,2020-02-17,0,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,13,3,0,2020-02-18,0,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,13,3,0,2020-02-19,0,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,13,3,0,2020-02-20,0,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,15,5,0,2020-02-21,2,2,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,15,5,0,2020-02-22,0,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,15,5,0,2020-02-23,0,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,51,5,0,2020-02-24,36,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,51,6,0,2020-02-25,0,1,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,57,6,0,2020-02-26,6,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,58,6,0,2020-02-27,1,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,60,7,0,2020-02-28,2,1,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,68,7,1,2020-02-29,8,0,1,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,74,7,1,2020-03-01,6,0,0,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,98,7,6,2020-03-02,24,0,5,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,118,7,7,2020-03-03,20,0,1,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,149,7,11,2020-03-04,31,0,4,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,217,7,12,2020-03-05,68,0,1,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,262,7,14,2020-03-06,45,0,2,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,402,7,17,2020-03-07,140,0,3,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,518,7,21,2020-03-08,116,0,4,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,583,7,22,2020-03-09,65,0,1,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,959,8,28,2020-03-10,376,1,6,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,1281,8,36,2020-03-11,322,0,8,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,1663,12,41,2020-03-12,382,4,5,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,2179,12,49,2020-03-13,516,0,8,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,2727,12,58,2020-03-14,548,0,9,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,3499,12,73,2020-03-15,772,0,15,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,4632,17,99,2020-03-16,1133,5,26,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,6421,17,133,2020-03-17,1789,0,34,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,7783,105,164,2020-03-18,1362,88,31,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,13747,121,258,2020-03-19,5964,16,94,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,19273,147,349,2020-03-20,5526,26,91,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,25600,176,442,2020-03-21,6327,29,93,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,33276,178,586,2020-03-22,7676,2,144,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,43843,178,786,2020-03-23,10567,0,200,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,53736,348,1008,2020-03-24,9893,170,222,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,65778,361,1316,2020-03-25,12042,13,308,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,83836,681,1726,2020-03-26,18058,320,410,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,101657,869,2265,2020-03-27,17821,188,539,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,121465,1072,2731,2020-03-28,19808,203,466,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,140909,2665,3420,2020-03-29,19444,1593,689,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,161831,5644,4192,2020-03-30,20922,2979,772,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,188172,7024,5367,2020-03-31,26341,1380,1175,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,213242,8474,6501,2020-04-01,25070,1450,1134,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,243622,9001,7921,2020-04-02,30380,527,1420,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,275367,9707,9246,2020-04-03,31745,706,1325,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,308650,14652,10855,2020-04-04,33283,4945,1609,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,336802,17448,12375,2020-04-05,28152,2796,1520,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,366317,19581,13894,2020-04-06,29515,2133,1519,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,397121,21763,16191,2020-04-07,30804,2182,2297,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,428654,23559,18270,2020-04-08,31533,1796,2079,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,462780,25410,20255,2020-04-09,34126,1851,1985,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,496535,28790,22333,2020-04-10,33755,3380,2078,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,526396,31270,24342,2020-04-11,29861,2480,2009,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,555313,32988,26086,2020-04-12,28917,1718,1744,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,580619,43482,27870,2020-04-13,25306,10494,1784,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,607670,47763,30262,2020-04-14,27051,4281,2392,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,636350,52096,32734,2020-04-15,28680,4333,2472,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,667592,54703,34827,2020-04-16,31242,2607,2093,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,699706,58545,37411,2020-04-17,32114,3842,2584,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,732197,64840,39753,2020-04-18,32491,6295,2342,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,758809,70337,40945,2020-04-19,26612,5497,1192,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,784326,72329,42659,2020-04-20,25517,1992,1714,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,811865,75204,45086,2020-04-21,27539,2875,2427,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,840351,77366,47412,2020-04-22,28486,2162,2326,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,869170,80203,49724,2020-04-23,28819,2837,2312,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,905358,99079,51493,2020-04-24,36188,18876,1769,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,938154,100372,53755,2020-04-25,32796,1293,2262,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,965785,106988,54881,2020-04-26,27631,6616,1126,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,988197,111424,56219,2020-04-27,22412,4436,1338,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,1012582,115936,58355,2020-04-28,24385,4512,2136,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,1039909,120720,60967,2020-04-29,27327,4784,2612,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,1069424,153947,62996,2020-04-30,29515,33227,2029,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,1103461,164015,64943,2020-05-01,34037,10068,1947,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,1132539,175382,66369,2020-05-02,29078,11367,1426,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,1158040,180152,67682,2020-05-03,25501,4770,1313,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,1180375,187180,68922,2020-05-04,22335,7028,1240,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,1204351,189791,71064,2020-05-05,23976,2611,2142,FALSE,FALSE,"US","USA",
"","US",37.0902,-95.7129,1229331,189910,73455,2020-05-06,24980,119,2391,FALSE,FALSE,"US","USA",
