"","Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","area","confirmed_new","recovered_new","deaths_new","hasErrors"
"1","","Ukraine",48.3794,31.1656,0,0,0,2020-01-22,"Ukraine_",0,0,0,FALSE
"2","","Ukraine",48.3794,31.1656,0,0,0,2020-01-23,"Ukraine_",0,0,0,FALSE
"3","","Ukraine",48.3794,31.1656,0,0,0,2020-01-24,"Ukraine_",0,0,0,FALSE
"4","","Ukraine",48.3794,31.1656,0,0,0,2020-01-25,"Ukraine_",0,0,0,FALSE
"5","","Ukraine",48.3794,31.1656,0,0,0,2020-01-26,"Ukraine_",0,0,0,FALSE
"6","","Ukraine",48.3794,31.1656,0,0,0,2020-01-27,"Ukraine_",0,0,0,FALSE
"7","","Ukraine",48.3794,31.1656,0,0,0,2020-01-28,"Ukraine_",0,0,0,FALSE
"8","","Ukraine",48.3794,31.1656,0,0,0,2020-01-29,"Ukraine_",0,0,0,FALSE
"9","","Ukraine",48.3794,31.1656,0,0,0,2020-01-30,"Ukraine_",0,0,0,FALSE
"10","","Ukraine",48.3794,31.1656,0,0,0,2020-01-31,"Ukraine_",0,0,0,FALSE
"11","","Ukraine",48.3794,31.1656,0,0,0,2020-02-01,"Ukraine_",0,0,0,FALSE
"12","","Ukraine",48.3794,31.1656,0,0,0,2020-02-02,"Ukraine_",0,0,0,FALSE
"13","","Ukraine",48.3794,31.1656,0,0,0,2020-02-03,"Ukraine_",0,0,0,FALSE
"14","","Ukraine",48.3794,31.1656,0,0,0,2020-02-04,"Ukraine_",0,0,0,FALSE
"15","","Ukraine",48.3794,31.1656,0,0,0,2020-02-05,"Ukraine_",0,0,0,FALSE
"16","","Ukraine",48.3794,31.1656,0,0,0,2020-02-06,"Ukraine_",0,0,0,FALSE
"17","","Ukraine",48.3794,31.1656,0,0,0,2020-02-07,"Ukraine_",0,0,0,FALSE
"18","","Ukraine",48.3794,31.1656,0,0,0,2020-02-08,"Ukraine_",0,0,0,FALSE
"19","","Ukraine",48.3794,31.1656,0,0,0,2020-02-09,"Ukraine_",0,0,0,FALSE
"20","","Ukraine",48.3794,31.1656,0,0,0,2020-02-10,"Ukraine_",0,0,0,FALSE
