"","Province.State","Country.Region","Lat","Long","confirmed","recovered","deaths","date","area","confirmed_new","recovered_new","deaths_new","hasErrors"
"1","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,0,NA,NA,2020-01-22,"United Kingdom_Turks and Caicos Islands",0,NA,NA,TRUE
"2","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,NA,0,0,2020-01-22,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
"3","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,0,NA,NA,2020-01-23,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
"4","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,NA,0,0,2020-01-23,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
"5","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,0,NA,NA,2020-01-24,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
"6","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,NA,0,0,2020-01-24,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
"7","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,0,NA,NA,2020-01-25,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
"8","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,NA,0,0,2020-01-25,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
"9","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,0,NA,NA,2020-01-26,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
"10","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,NA,0,0,2020-01-26,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
"11","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,0,NA,NA,2020-01-27,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
"12","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,NA,0,0,2020-01-27,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
"13","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,0,NA,NA,2020-01-28,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
"14","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,NA,0,0,2020-01-28,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
"15","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,0,NA,NA,2020-01-29,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
"16","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,NA,0,0,2020-01-29,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
"17","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,0,NA,NA,2020-01-30,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
"18","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,NA,0,0,2020-01-30,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
"19","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,0,NA,NA,2020-01-31,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
"20","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,NA,0,0,2020-01-31,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
"21","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,0,NA,NA,2020-02-01,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
"22","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,NA,0,0,2020-02-01,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
"23","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,0,NA,NA,2020-02-02,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
"24","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,NA,0,0,2020-02-02,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
"25","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,0,NA,NA,2020-02-03,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
"26","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,NA,0,0,2020-02-03,"United Kingdom_Turks and Caicos Islands",NA,NA,NA,TRUE
