"Province.State","Country.Region","Lat","Long","confirmed","deaths","date","confirmed_new","deaths_new","hasErrors","hasParent","country_code","country_code3","territory_code","group"
"Altay republic","Russia",50.7362,87.0155,63,0,2020-05-14,3,0,FALSE,TRUE,"RU","RUS",,
"Altayskiy kray","Russia",52.1297,82.53,809,3,2020-05-14,39,0,FALSE,TRUE,"RU","RUS","RU-ALT","RU-ALT"
"Amursk oblast","Russia",53.4133,127.728,194,1,2020-05-14,12,0,FALSE,TRUE,"RU","RUS","RU-AMU","RU-AMU"
"Arkhangelsk oblast","Russia",64,44,554,3,2020-05-14,41,0,FALSE,TRUE,"RU","RUS","RU-ARK","RU-ARK"
"Astrahan oblast","Russia",46.8515,47.4662,895,7,2020-05-14,45,0,FALSE,TRUE,"RU","RUS","RU-AST","RU-AST"
"Belgorod oblast","Russia",50.6107,36.5802,994,8,2020-05-14,52,0,FALSE,TRUE,"RU","RUS","RU-BEL","RU-BEL"
"Briansk oblast","Russia",53.2521,34.3717,1908,30,2020-05-14,82,0,FALSE,TRUE,"RU","RUS","RU-BRY","RU-BRY"
"Chechen republic","Russia",43.2,45.7889,865,9,2020-05-14,24,0,FALSE,TRUE,"RU","RUS","RU-CE","RU-CE"
"Cheliabinsk oblast","Russia",55.154,61.4292,1307,5,2020-05-14,44,1,FALSE,TRUE,"RU","RUS","RU-CHE","RU-CHE"
"Chukotskiy autonomous oblast","Russia",65.9826,174.432,36,0,2020-05-14,1,0,FALSE,TRUE,"RU","RUS",,
"Habarovskiy kray","Russia",48.4827,135.084,1074,7,2020-05-14,51,0,FALSE,TRUE,"RU","RUS","RU-KHA","RU-KHA"
"Hanty-Mansiyskiy AO","Russia",61.0042,69.0019,926,6,2020-05-14,61,0,FALSE,TRUE,"RU","RUS","RU-KHM","RU-KHM"
"Ingushetia republic","Russia",43.1036,45.0546,1372,33,2020-05-14,39,1,FALSE,TRUE,"RU","RUS","RU-IN","RU-IN"
"Irkutsk oblast","Russia",57.1003,106.363,379,4,2020-05-14,26,0,FALSE,TRUE,"RU","RUS","RU-IRK","RU-IRK"
"Ivanovo oblast","Russia",56.9972,40.9714,1023,12,2020-05-14,102,0,FALSE,TRUE,"RU","RUS","RU-IVA","RU-IVA"
"Jewish Autonomous oblast","Russia",48.5229,132.258,218,1,2020-05-14,6,0,FALSE,TRUE,"RU","RUS","RU-YEV","RU-YEV"
"Kaliningrad oblast","Russia",54.7065,20.511,848,11,2020-05-14,36,0,FALSE,TRUE,"RU","RUS","RU-KGD","RU-KGD"
"Kaluga oblast","Russia",54.5293,36.2754,2115,19,2020-05-14,97,0,FALSE,TRUE,"RU","RUS","RU-KLU","RU-KLU"
"Kamchatskiy kray","Russia",61.3502,169.783,429,1,2020-05-14,11,0,FALSE,TRUE,"RU","RUS","RU-KAM","RU-KAM"
"Kemerovo oblast","Russia",55.3333,86.0833,282,7,2020-05-14,13,0,FALSE,TRUE,"RU","RUS","RU-KEM","RU-KEM"
"Kirov oblast","Russia",58.5966,49.6601,911,5,2020-05-14,15,0,FALSE,TRUE,"RU","RUS","RU-KIR","RU-KIR"
"Komi republic","Russia",64,54,867,16,2020-05-14,8,0,FALSE,TRUE,"RU","RUS","RU-KO","RU-KO"
"Kostroma oblast","Russia",58.456,43.7885,433,3,2020-05-14,31,0,FALSE,TRUE,"RU","RUS","RU-KOS","RU-KOS"
"Krasnodarskiy kray","Russia",44.9881,38.9768,2319,24,2020-05-14,97,2,FALSE,TRUE,"RU","RUS","RU-KDA","RU-KDA"
"Krasnoyarskiy kray","Russia",58,93,1542,15,2020-05-14,21,0,FALSE,TRUE,"RU","RUS","RU-KYA","RU-KYA"
"Kurgan oblast","Russia",55.45,65.3333,95,0,2020-05-14,9,0,FALSE,TRUE,"RU","RUS","RU-KGN","RU-KGN"
"Kursk oblast","Russia",51.535,36.1213,1697,6,2020-05-14,76,0,FALSE,TRUE,"RU","RUS","RU-KRS","RU-KRS"
"Leningradskaya oblast","Russia",60,32,1775,6,2020-05-14,69,0,FALSE,TRUE,"RU","RUS","RU-LEN","RU-LEN"
"Lipetsk oblast","Russia",52.6031,39.5708,1036,3,2020-05-14,46,0,FALSE,TRUE,"RU","RUS","RU-LIP","RU-LIP"
"Magadan oblast","Russia",62.5758,154.037,163,3,2020-05-14,1,0,FALSE,TRUE,"RU","RUS","RU-MAG","RU-MAG"
