"UID","iso2","iso3","code3","FIPS","Admin2","Province.State","Country.Region","Lat","Long","Combined_Key","confirmed","deaths","date","confirmed_new","deaths_new","hasErrors","hasParent","country_code","country_code3","territory_code","group"
84045001,"US","USA",840,45001,"Abbeville","South Carolina","US",34.2233,-82.4617,"Abbeville, South Carolina, US",138,1,2020-07-09,1,0,FALSE,TRUE,"US","USA","US-SC","US-SC-Abbeville"
84022001,"US","USA",840,22001,"Acadia","Louisiana","US",30.2951,-92.4142,"Acadia, Louisiana, US",1166,44,2020-07-09,72,0,FALSE,TRUE,"US","USA","US-LA","US-LA-Acadia"
84051001,"US","USA",840,51001,"Accomack","Virginia","US",37.7671,-75.6323,"Accomack, Virginia, US",1042,14,2020-07-09,0,0,FALSE,TRUE,"US","USA","US-VA","US-VA-Accomack"
84016001,"US","USA",840,16001,"Ada","Idaho","US",43.4527,-116.242,"Ada, Idaho, US",3596,24,2020-07-09,165,1,FALSE,TRUE,"US","USA","US-ID","US-ID-Ada"
84019001,"US","USA",840,19001,"Adair","Iowa","US",41.3308,-94.4711,"Adair, Iowa, US",16,0,2020-07-09,-1,0,FALSE,TRUE,"US","USA","US-IA","US-IA-Adair"
84021001,"US","USA",840,21001,"Adair","Kentucky","US",37.1046,-85.2813,"Adair, Kentucky, US",131,19,2020-07-09,0,0,FALSE,TRUE,"US","USA","US-KY","US-KY-Adair"
84029001,"US","USA",840,29001,"Adair","Missouri","US",40.1906,-92.6008,"Adair, Missouri, US",99,0,2020-07-09,1,0,FALSE,TRUE,"US","USA","US-MO","US-MO-Adair"
84040001,"US","USA",840,40001,"Adair","Oklahoma","US",35.8849,-94.6586,"Adair, Oklahoma, US",136,4,2020-07-09,6,0,FALSE,TRUE,"US","USA","US-OK","US-OK-Adair"
84008001,"US","USA",840,8001,"Adams","Colorado","US",39.8743,-104.336,"Adams, Colorado, US",4588,156,2020-07-09,42,0,FALSE,TRUE,"US","USA","US-CO","US-CO-Adams"
84016003,"US","USA",840,16003,"Adams","Idaho","US",44.8933,-116.455,"Adams, Idaho, US",12,0,2020-07-09,0,0,FALSE,TRUE,"US","USA","US-ID","US-ID-Adams"
84017001,"US","USA",840,17001,"Adams","Illinois","US",39.9882,-91.1879,"Adams, Illinois, US",142,1,2020-07-09,3,0,FALSE,TRUE,"US","USA","US-IL","US-IL-Adams"
84018001,"US","USA",840,18001,"Adams","Indiana","US",40.7458,-84.9367,"Adams, Indiana, US",49,1,2020-07-09,0,0,FALSE,TRUE,"US","USA","US-IN","US-IN-Adams"
84019003,"US","USA",840,19003,"Adams","Iowa","US",41.029,-94.6993,"Adams, Iowa, US",8,0,2020-07-09,0,0,FALSE,TRUE,"US","USA","US-IA","US-IA-Adams"
84028001,"US","USA",840,28001,"Adams","Mississippi","US",31.4767,-91.3533,"Adams, Mississippi, US",340,19,2020-07-09,8,1,FALSE,TRUE,"US","USA","US-MS","US-MS-Adams"
84031001,"US","USA",840,31001,"Adams","Nebraska","US",40.5245,-98.5012,"Adams, Nebraska, US",309,11,2020-07-09,5,0,FALSE,TRUE,"US","USA","US-NE","US-NE-Adams"
84038001,"US","USA",840,38001,"Adams","North Dakota","US",46.0969,-102.529,"Adams, North Dakota, US",0,0,2020-07-09,0,0,FALSE,TRUE,"US","USA","US-ND","US-ND-Adams"
84039001,"US","USA",840,39001,"Adams","Ohio","US",38.8454,-83.4719,"Adams, Ohio, US",24,1,2020-07-09,0,0,FALSE,TRUE,"US","USA","US-OH","US-OH-Adams"
84042001,"US","USA",840,42001,"Adams","Pennsylvania","US",39.8714,-77.2161,"Adams, Pennsylvania, US",366,13,2020-07-09,5,0,FALSE,TRUE,"US","USA","US-PA","US-PA-Adams"
84053001,"US","USA",840,53001,"Adams","Washington","US",46.983,-118.56,"Adams, Washington, US",218,0,2020-07-09,19,0,FALSE,TRUE,"US","USA","US-WA","US-WA-Adams"
84055001,"US","USA",840,55001,"Adams","Wisconsin","US",43.9697,-89.7678,"Adams, Wisconsin, US",35,2,2020-07-09,0,0,FALSE,TRUE,"US","USA","US-WI","US-WI-Adams"
84050001,"US","USA",840,50001,"Addison","Vermont","US",44.0322,-73.1413,"Addison, Vermont, US",68,2,2020-07-09,0,0,FALSE,TRUE,"US","USA","US-VT","US-VT-Addison"
84045003,"US","USA",840,45003,"Aiken","South Carolina","US",33.5434,-81.6365,"Aiken, South Carolina, US",575,11,2020-07-09,30,0,FALSE,TRUE,"US","USA","US-SC","US-SC-Aiken"
84027001,"US","USA",840,27001,"Aitkin","Minnesota","US",46.6096,-93.4117,"Aitkin, Minnesota, US",15,0,2020-07-09,0,0,FALSE,TRUE,"US","USA","US-MN","US-MN-Aitkin"
